src_value,dst_value
2,523
2,224
6,396
2,14
4,298
5,525
4,464
6,57
6,548
5,333
2,48
2,515
5,538
4,84
2,567
2,409
2,514
4,461
2,336
2,93
2,214
4,464
5,26
5,538
5,538
2,422
4,308
4,308
4,161
5,574
4,301
6,160
2,14
2,14
2,377
2,383
4,186
5,510
2,452
2,567
2,380
4,301
5,26
2,377
4,129
4,129
2,494
2,104
2,489
2,227
2,183
2,183
4,500
4,500
2,280
4,294
2,44
4,84
2,20
4,296
5,287
4,102
5,504
2,292
2,145
2,376
4,102
4,352
2,18
4,301
2,277
4,74
2,494
7,325
4,62
2,457
2,489
4,555
2,177
2,579
4,109
4,74
2,497
4,84
5,445
2,425
5,574
5,574
4,464
7,306
7,365
7,96
7,168
2,18
2,235
2,104
2,376
7,556
7,306
4,318
7,556
2,335
4,441
2,335
4,245
4,245
2,376
2,376
7,198
4,74
4,161
4,551
5,417
4,62
2,82
4,201
1,506
7,185
2,351
2,351
2,407
6,323
2,430
2,456
4,74
2,567
5,26
2,178
4,500
4,60
2,44
4,464
4,464
2,140
2,207
2,497
4,353
4,220
2,560
2,453
2,430
7,210
7,387
4,551
4,441
2,567
4,461
4,461
5,491
2,505
2,335
4,245
7,11
2,224
5,287
5,445
4,84
7,126
4,322
2,455
4,194
4,194
2,523
2,291
2,351
2,89
7,365
7,365
7,306
4,84
4,477
2,536
4,555
2,514
4,388
2,426
6,548
1,506
5,189
2,335
2,335
7,9
2,104
2,82
2,44
4,64
7,32
4,247
4,477
4,62
4,316
7,465
4,352
2,111
4,449
4,458
4,228
2,48
4,449
2,567
4,308
5,415
2,123
4,461
7,11
4,458
2,89
5,2
2,37
5,492
4,352
4,352
5,538
5,538
2,263
4,352
7,365
2,564
2,335
4,447
7,101
4,194
5,393
4,488
2,486
2,486
7,372
2,567
5,417
2,6
4,201
7,51
4,435
1,506
5,415
2,409
7,462
4,228
7,51
4,186
7,576
7,126
2,37
7,480
5,359
4,61
4,74
4,201
2,111
2,309
2,178
6,230
5,339
2,120
5,1
2,409
4,62
4,62
4,352
2,104
2,567
2,104
2,289
2,383
2,383
2,383
2,383
7,215
7,332
2,381
4,301
6,240
2,111
2,217
7,563
4,477
4,477
2,334
7,150
7,372
7,17
2,562
7,96
4,441
7,321
2,6
2,505
4,389
2,351
2,351
6,240
7,355
2,177
5,513
5,7
7,576
4,555
4,220
7,326
7,185
4,75
4,62
7,271
2,335
7,556
4,318
4,551
7,576
7,343
2,507
4,461
2,44
4,551
2,145
4,23
7,572
2,197
2,289
2,18
7,576
7,576
2,394
2,394
4,501
4,194
4,294
7,215
7,576
7,202
4,102
4,102
4,129
4,245
6,119
2,191
2,291
4,301
2,567
2,309
2,214
4,551
7,270
7,313
4,477
2,31
5,571
2,244
7,58
2,309
7,151
2,409
5,113
6,181
2,335
2,335
4,447
6,77
7,355
2,14
2,489
7,215
7,215
7,17
2,163
4,477
7,326
4,201
7,151
4,245
7,212
5,2
7,96
4,555
4,555
4,555
7,340
4,389
7,572
4,308
5,401
7,471
4,161
5,510
6,284
4,194
7,241
7,575
2,93
5,525
7,423
7,96
5,574
4,301
7,185
4,102
4,447
4,194
5,574
4,441
5,287
4,308
6,532
6,532
7,88
7,88
4,301
2,567
3,25
2,426
2,425
2,45
2,244
6,119
2,183
2,47
5,90
4,201
7,283
2,291
7,480
7,480
2,351
2,351
3,405
2,218
4,501
6,54
6,54
7,72
4,449
4,74
4,74
7,550
2,280
2,274
2,456
6,230
2,454
7,210
7,32
7,535
7,343
2,207
2,207
2,207
4,449
2,42
2,42
2,534
4,477
4,129
2,336
4,62
4,555
4,201
5,445
2,120
7,342
7,342
4,186
4,65
5,41
4,353
5,7
2,381
7,198
7,345
4,500
2,335
7,556
3,290
4,477
2,380
2,197
2,562
7,211
7,51
4,186
7,203
4,102
4,102
7,326
2,104
7,556
4,499
2,494
4,62
2,227
2,207
7,241
7,241
2,394
7,365
7,88
7,58
7,215
4,352
4,352
4,499
7,346
5,401
2,243
2,111
2,104
7,101
7,211
4,60
4,62
5,445
2,536
5,557
4,551
4,551
4,551
7,576
4,441
7,345
5,510
2,425
2,454
2,383
2,120
4,129
4,194
4,388
4,361
4,361
4,60
7,269
4,499
2,93
7,321
4,555
4,555
4,555
2,280
2,505
4,499
7,319
5,510
5,320
7,151
5,510
4,301
2,44
2,44
2,163
4,352
2,280
4,201
4,201
2,394
7,337
7,337
4,65
4,201
2,234
4,194
2,120
1,506
5,2
7,575
2,280
7,343
7,315
4,114
7,535
2,145
2,497
2,177
7,269
4,84
2,439
4,499
5,287
5,287
2,407
7,17
2,481
2,336
4,308
7,238
2,385
4,245
7,196
7,211
5,7
7,343
4,245
4,186
4,477
2,82
7,387
7,578
7,210
2,93
2,93
2,120
2,120
2,567
4,461
4,461
4,461
7,283
4,352
7,550
2,214
7,185
2,177
4,64
4,464
2,274
7,101
7,101
7,428
2,507
2,567
4,64
7,283
6,54
5,401
2,93
2,473
2,473
2,34
2,125
2,280
2,125
7,96
2,280
4,74
4,461
7,58
4,60
4,60
7,185
5,333
7,372
5,369
2,505
2,370
7,576
7,343
7,306
4,84
2,409
7,101
7,215
2,87
7,556
2,336
6,199
7,215
2,191
4,65
4,65
4,65
2,234
2,234
6,323
5,2
4,449
2,433
4,74
2,474
4,441
2,183
2,439
2,183
2,239
5,41
7,530
2,406
2,207
2,218
4,201
2,163
4,65
4,220
2,81
7,210
7,210
2,489
2,280
2,83
4,488
4,74
7,269
2,289
4,464
4,441
7,315
1,506
7,349
4,247
4,65
2,31
2,433
4,477
2,244
4,551
4,551
5,510
5,510
5,510
7,340
7,40
2,489
2,514
2,38
2,38
6,54
7,337
7,315
7,365
2,44
2,560
2,560
7,542
2,6
7,211
4,75
5,510
2,104
4,501
4,201
2,497
2,191
2,191
1,506
2,170
5,134
4,435
5,26
4,194
4,301
6,190
7,340
5,417
2,439
2,444
7,29
2,579
7,542
4,437
7,32
6,396
2,125
