src_value,dst_value
8894,523
8904,224
9653,396
8781,14
9480,298
9576,525
9463,464
9645,57
9643,548
9640,333
8866,48
8833,515
9602,538
9533,84
8880,567
8995,409
9078,514
9305,461
9056,336
8928,93
8847,214
9560,464
9580,26
9614,538
9614,538
8873,422
9455,308
9455,308
9502,161
9561,574
9531,301
9656,160
8898,14
8898,14
8948,377
9069,383
9333,186
9586,510
8856,452
8807,567
8801,380
9313,301
9583,26
8877,377
9410,129
9410,129
8819,494
8953,104
8867,489
9033,227
8832,183
8832,183
9343,500
9343,500
8859,280
9341,294
9052,44
9471,84
8960,20
9406,296
9604,287
9442,102
9579,504
8973,292
8918,145
8976,376
9513,102
9554,352
8836,18
9469,301
8945,277
9506,74
8875,494
9156,325
9370,62
8806,457
8942,489
9438,555
9001,177
8997,579
9536,109
9394,74
9084,497
9334,84
9642,445
8975,425
9588,574
9588,574
9335,464
9102,306
9266,365
9187,96
9181,168
8885,18
9009,235
8834,104
9045,376
9294,556
9129,306
9448,318
9213,556
9015,335
9467,441
8967,335
9485,245
9485,245
9034,376
9034,376
9098,198
9306,74
9300,161
9338,551
9581,417
9409,62
8886,82
9320,201
9673,506
9155,185
8952,351
8952,351
8783,407
9646,323
8980,430
8808,456
9303,74
9039,567
9584,26
8994,178
9481,500
9501,60
8913,44
9337,464
9337,464
9041,140
9080,207
8926,497
9535,353
9392,220
8929,560
9025,453
9013,430
9173,210
9124,387
9534,551
9439,441
9014,567
9384,461
9384,461
9620,491
8788,505
8851,335
9425,245
9257,11
8998,224
9570,287
9600,445
9466,84
9143,126
9376,322
8824,455
9315,194
9315,194
8939,523
8860,291
8914,351
8988,89
9198,365
9198,365
9199,306
9403,84
9318,477
8930,536
9453,555
9064,514
9398,388
9081,426
9668,548
9676,506
9578,189
8839,335
8839,335
9101,9
8816,104
9035,82
8907,44
9386,64
9227,32
9379,247
9445,477
9465,62
9527,316
9115,465
9381,352
8809,111
9423,449
9301,458
9553,228
8821,48
9417,449
8954,567
9369,308
9616,415
8870,123
9494,461
9194,11
9517,458
8946,89
9619,2
9046,37
9573,492
9525,352
9525,352
9618,538
9618,538
9044,263
9427,352
9148,365
9065,564
8931,335
9456,447
9117,101
9503,194
9585,393
9385,488
8990,486
8990,486
9090,372
8983,567
9621,417
8916,6
9413,201
9149,51
9499,435
9674,506
9592,415
8932,409
9196,462
9491,228
9170,51
9377,186
9245,576
9197,126
8882,37
9188,480
9587,359
9304,61
9404,74
9505,201
9016,111
8831,309
9086,178
9666,230
9631,339
8974,120
9603,1
8881,409
9488,62
9367,62
9460,352
8842,104
8911,567
9070,104
8968,289
9012,383
9012,383
9012,383
9012,383
9177,215
9217,332
8795,381
9524,301
9664,240
8999,111
8813,217
9094,563
9307,477
9307,477
9047,334
9160,150
9223,372
9289,17
8845,562
9222,96
9500,441
9108,321
9024,6
8857,505
9361,389
8792,351
8792,351
9658,240
9291,355
8917,177
9574,513
9628,7
9125,576
9407,555
9364,220
9230,326
9285,185
9462,75
9402,62
9163,271
8958,335
9139,556
9548,318
9519,551
9278,576
9167,343
8888,507
9482,461
9079,44
9431,551
9026,145
9555,23
9140,572
8799,197
9072,289
9082,18
9184,576
9201,576
8978,394
8978,394
9363,501
9523,194
9496,294
9249,215
9128,576
9189,202
9405,102
9405,102
9308,129
9476,245
9657,119
8850,191
8965,291
9375,301
9002,567
9000,309
8922,214
9530,551
9232,270
9220,313
9340,477
8919,31
9622,571
8910,244
9221,58
8890,309
9127,151
8796,409
9626,113
9663,181
9032,335
9032,335
9309,447
9651,77
9224,355
8906,14
8989,489
9191,215
9191,215
9229,17
9031,163
9322,477
9262,326
9329,201
9138,151
9451,245
9286,212
9594,2
9157,96
9522,555
9522,555
9522,555
9236,340
9437,389
9118,572
9420,308
9567,401
9132,471
9400,161
9601,510
9665,284
9319,194
9209,241
9111,575
9063,93
9625,525
9135,423
9215,96
9595,574
9316,301
9154,185
9510,102
9538,447
9355,194
9605,574
9382,441
9599,287
9528,308
9644,532
9644,532
9164,88
9164,88
9360,301
8955,567
9670,25
8865,426
9003,425
9043,45
8981,244
9662,119
9071,183
9077,47
9637,90
9459,201
9242,283
9085,291
9142,480
9142,480
9021,351
9021,351
9671,405
9038,218
9302,501
9654,54
9654,54
9103,72
9464,449
9378,74
9378,74
9219,550
8889,280
8861,274
8938,456
9661,230
9008,454
9105,210
9299,32
9273,535
9183,343
8825,207
8825,207
8825,207
9486,449
8811,42
8811,42
8810,534
9541,477
9429,129
8982,336
9414,62
9468,555
9492,201
9563,445
9076,120
9175,342
9175,342
9388,186
9339,65
9565,41
9473,353
9609,7
8987,381
9293,198
9252,345
9317,500
8815,335
9264,556
9669,290
9371,477
8782,380
9055,197
9027,562
9099,211
9171,51
9416,186
9231,203
9412,102
9412,102
9192,326
8871,104
9182,556
9507,499
8897,494
9452,62
8969,227
8876,207
9297,241
9297,241
9028,394
9241,365
9269,88
9122,58
9089,215
9539,352
9539,352
9358,499
9214,346
9630,401
8826,243
8984,111
8803,104
9162,101
9275,211
9435,60
9372,62
9610,445
8849,536
9638,557
9348,551
9348,551
9348,551
9272,576
9443,441
9210,345
9582,510
8921,425
8903,454
8789,383
9030,120
9450,129
9458,194
9556,388
9353,361
9346,361
9399,60
9268,269
9312,499
8977,93
9284,321
9449,555
9449,555
9449,555
8879,280
8853,505
9550,499
9096,319
9577,510
9569,320
9153,151
9572,510
9498,301
8814,44
8940,44
8841,163
9415,352
8934,280
9447,201
9350,201
8818,394
9208,337
9208,337
9508,65
9324,201
8829,234
9558,194
8912,120
9677,506
9597,2
9200,575
9051,280
9137,343
9253,315
9526,114
9093,535
8959,145
8838,497
8800,177
9288,269
9543,84
9023,439
9422,499
9641,287
9641,287
8887,407
9195,17
8784,481
8830,336
9424,308
9172,238
8895,385
9518,245
9159,196
9185,211
9636,7
9123,343
9552,245
9418,186
9446,477
9061,82
9295,387
9165,578
9251,210
8947,93
8947,93
8941,120
8941,120
8852,567
9393,461
9393,461
9393,461
9228,283
9419,352
9119,550
8899,214
9298,185
8827,177
9321,64
9433,464
8979,274
9206,101
9206,101
9261,428
9037,507
9042,567
9383,64
9254,283
9652,54
9627,401
9074,93
8785,473
8785,473
9036,34
9068,125
8835,280
9068,125
9095,96
9029,280
9373,74
9457,461
9106,58
9327,60
9327,60
9225,185
9639,333
9276,372
9606,369
8820,505
8944,370
9145,576
9146,343
9097,306
9515,84
9049,409
9255,101
9280,215
8949,87
9240,556
8956,336
9655,199
9216,215
8790,191
9547,65
9547,65
9547,65
8862,234
8862,234
9648,323
9617,2
9511,449
8868,433
9441,74
9073,474
9551,441
8915,183
9059,439
8915,183
8855,239
9632,41
9161,530
8837,406
8798,207
9053,218
9514,201
8844,163
9390,65
9440,220
9083,81
9203,210
9203,210
9010,489
8924,280
9007,83
9328,488
9332,74
9130,269
8864,289
9387,464
9479,441
9168,315
9675,506
9166,349
9489,247
9352,65
8991,31
9019,433
9368,477
8950,244
9487,551
9487,551
9571,510
9571,510
9571,510
9263,340
9212,40
8962,489
8804,514
8858,38
8858,38
9650,54
9270,337
9176,315
9104,365
8927,44
9040,560
8951,560
9235,542
8793,6
9234,211
9484,75
9593,510
8985,104
9366,501
9483,201
8909,497
8957,191
8957,191
9679,506
8822,170
9613,134
9330,435
9575,26
9408,194
9540,301
9667,190
9279,340
9566,417
8933,439
8925,444
9091,29
8996,579
9109,542
9323,437
9218,32
9660,396
9017,125
8937,454
9520,60
9250,472
9287,349
9290,283
9067,225
9342,186
9342,186
9342,186
9107,32
9351,201
8966,409
9649,160
8905,540
9608,359
9100,348
9120,271
9397,441
9247,72
9179,215
9005,456
9147,342
8935,536
9389,298
9421,65
9430,201
9274,480
9011,278
8840,539
9615,510
9114,395
8961,335
8823,218
9190,88
9591,538
9591,538
9131,101
9112,196
8986,455
9331,186
9211,326
9472,352
9529,65
9428,65
9454,301
9141,241
9326,114
9401,317
9292,237
8786,422
9006,433
9426,298
9136,101
9546,201
9611,4
9282,470
9282,470
8872,14
9054,89
9248,88
8936,140
9624,364
9126,572
9259,480
9238,126
8854,192
9057,177
9391,65
9559,247
9325,60
9672,506
9265,332
9169,306
8848,292
9633,3
9633,3
9568,7
9396,245
8901,111
9623,41
9434,186
8920,567
9022,567
9271,530
9237,563
9092,211
9246,372
9562,538
9116,241
9152,211
9521,205
8893,505
9365,441
9395,461
9202,542
9359,308
