src_value,dst_value
703,1
292,1
530,1
19,3
392,1
707,3
624,1
77,1
737,3
443,3
64,2
692,1
723,3
108,3
763,2
548,2
690,3
619,3
447,3
118,2
279,3
623,3
36,1
723,3
723,3
562,1
407,3
407,3
208,3
774,1
397,2
206,3
20,1
20,1
506,1
513,3
242,1
685,5
604,2
763,2
510,3
398,1
36,1
506,1
169,4
169,4
662,3
132,2
656,3
298,1
236,3
236,3
670,1
670,1
367,2
386,4
60,2
108,3
29,3
391,5
378,1
129,3
675,4
383,2
191,2
504,1
129,3
470,1
25,1
398,1
361,1
96,1
662,3
432,2
86,2
611,3
656,3
748,3
228,2
782,1
139,4
96,1
665,2
108,3
594,2
566,1
774,1
774,1
624,1
404,1
489,1
120,2
218,3
25,1
307,2
132,2
504,1
750,2
404,1
424,5
750,2
445,1
589,1
445,1
319,1
319,1
504,1
504,1
257,3
96,1
208,3
742,3
557,2
86,2
106,3
262,2
679,2
239,2
469,3
469,3
544,2
429,3
574,2
609,3
96,1
763,2
36,1
231,3
670,1
82,2
60,2
624,1
624,1
185,1
269,1
665,2
472,2
286,1
755,2
605,1
573,1
273,1
517,1
742,3
589,1
764,1
618,1
618,1
658,4
677,1
444,3
320,2
15,1
292,1
378,1
594,2
108,3
166,1
428,5
608,1
251,3
251,3
703,1
382,1
469,3
113,2
489,1
489,1
404,1
108,3
641,2
722,3
748,3
690,3
520,2
568,2
737,3
679,2
245,2
445,1
445,1
10,1
132,2
107,1
60,2
80,2
44,1
322,4
641,2
86,2
418,4
625,3
471,2
142,1
599,1
613,1
299,4
64,2
599,1
763,2
406,1
553,2
162,5
619,3
13,3
613,1
113,2
3,1
49,3
660,2
471,2
471,2
723,3
723,3
345,1
471,2
488,3
760,1
445,1
597,1
127,2
251,3
525,3
654,3
651,2
651,2
499,1
763,2
557,2
7,1
262,2
70,2
580,2
679,2
554,1
548,2
621,1
300,3
70,2
242,1
776,1
166,1
49,3
643,1
480,1
85,2
96,1
262,2
141,2
409,1
231,3
302,1
452,2
157,1
1,2
548,2
86,2
86,2
471,2
132,2
763,2
132,2
379,1
513,3
513,3
513,3
513,3
282,1
440,2
511,3
397,2
314,3
142,1
283,3
758,1
641,2
641,2
446,1
196,2
499,1
24,1
757,1
121,1
589,1
427,2
7,1
676,2
521,3
468,4
468,4
314,3
475,2
228,2
689,2
8,1
776,1
748,3
287,3
433,2
239,2
98,3
86,2
354,2
445,1
749,1
424,5
742,3
776,1
459,2
681,5
618,1
60,2
742,3
191,2
33,5
771,2
256,3
379,1
25,1
776,1
776,1
526,2
526,2
671,3
251,3
387,3
282,1
777,2
264,1
129,3
129,3
170,5
320,2
156,1
247,2
382,1
397,2
763,2
408,2
280,1
742,3
352,2
416,2
641,2
42,1
769,4
318,3
78,2
408,2
197,2
548,2
145,2
234,5
445,1
445,1
597,1
100,3
475,2
19,3
656,3
282,1
282,1
24,1
211,1
641,2
433,2
262,2
197,2
320,2
275,2
2,2
120,2
748,3
748,3
748,3
455,1
521,3
771,2
407,3
537,1
632,2
208,3
685,5
372,3
251,3
315,1
775,2
118,2
707,3
564,2
120,2
774,1
397,2
239,2
129,3
597,1
251,3
774,1
589,1
378,1
407,3
717,3
717,3
112,1
112,1
397,2
763,2
35,5
568,2
566,1
59,2
318,3
156,1
236,3
62,1
114,2
262,2
371,1
382,1
643,1
643,1
469,3
469,3
542,3
284,3
671,3
73,3
73,3
94,3
599,1
96,1
96,1
740,3
367,2
358,2
609,3
302,1
606,1
273,1
44,1
720,1
459,2
269,1
269,1
269,1
599,1
56,1
56,1
719,4
641,2
170,5
447,3
86,2
748,3
262,2
594,2
157,1
457,1
457,1
242,1
81,2
55,3
472,2
8,1
511,3
257,3
461,2
670,1
445,1
750,2
380,3
641,2
510,3
256,3
757,1
274,2
70,2
242,1
263,1
129,3
129,3
433,2
132,2
750,2
669,3
662,3
86,2
298,1
269,1
315,1
315,1
526,2
489,1
112,1
78,2
282,1
471,2
471,2
669,3
460,2
538,2
317,2
141,2
132,2
127,2
274,2
82,2
86,2
594,2
722,3
751,3
742,3
742,3
742,3
777,2
590,3
461,2
686,4
566,1
606,1
513,3
157,1
170,5
252,1
519,1
483,4
483,4
82,2
353,2
668,1
118,2
427,2
748,3
748,3
748,3
367,2
677,1
668,1
425,2
686,4
426,2
197,2
685,5
397,2
60,2
60,2
211,1
471,2
367,2
261,1
262,2
526,2
450,3
450,3
81,2
262,2
310,1
251,3
157,1
679,2
3,1
775,2
367,2
459,2
417,3
148,5
720,1
191,2
665,2
228,2
353,2
108,3
585,1
668,1
378,1
378,1
544,2
24,1
646,1
448,1
407,3
312,2
515,2
319,1
254,2
274,2
8,1
459,2
320,2
242,1
640,1
106,3
518,2
779,4
273,1
118,2
118,2
157,1
157,1
763,2
618,1
618,1
618,1
371,1
471,2
740,3
279,3
239,2
228,2
80,2
624,1
358,2
127,2
127,2
570,1
680,4
763,2
80,2
371,1
73,3
538,2
118,2
636,2
636,2
45,2
164,1
368,1
164,1
120,2
367,2
97,3
619,3
78,2
82,2
82,2
239,2
442,1
499,1
495,1
676,2
496,3
777,2
459,2
404,1
108,3
548,2
127,2
282,1
110,2
750,2
447,3
258,1
282,1
247,2
81,2
81,2
81,2
308,2
308,2
429,3
3,1
599,1
578,2
97,3
635,2
589,1
236,3
585,1
236,3
313,2
55,3
713,1
543,3
269,1
284,3
262,2
210,3
81,2
287,3
104,1
273,1
273,1
656,3
367,2
105,3
654,3
97,3
353,2
379,1
624,1
589,1
417,3
678,1
466,1
323,3
81,2
42,1
578,2
641,2
318,3
742,3
742,3
685,5
685,5
685,5
455,1
54,1
656,3
690,3
51,1
51,1
73,3
450,3
417,3
489,1
60,2
755,2
755,2
728,1
7,1
274,2
98,3
685,5
131,1
671,3
262,2
665,2
247,2
247,2
679,2
220,3
176,3
580,2
36,1
251,3
397,2
246,3
455,1
557,2
585,1
593,2
39,1
782,1
728,1
584,5
44,1
531,3
164,1
606,1
82,2
634,1
466,1
371,1
295,4
242,1
242,1
242,1
44,1
262,2
548,2
206,3
725,3
480,1
465,1
354,2
589,1
94,3
282,1
609,3
456,3
722,3
392,1
81,2
262,2
643,1
363,3
724,2
686,4
528,3
445,1
284,3
112,1
723,3
723,3
127,2
254,2
608,1
242,1
433,2
470,1
81,2
81,2
397,2
315,1
146,3
421,3
311,3
562,1
578,2
392,1
127,2
262,2
5,1
633,2
633,2
20,1
113,2
112,1
185,1
487,3
771,2
643,1
166,1
248,3
228,2
81,2
323,3
82,2
679,2
440,2
404,1
383,2
4,1
4,1
8,1
319,1
141,2
55,3
242,1
764,1
763,2
713,1
758,1
274,2
499,1
723,3
315,1
274,2
266,3
676,2
589,1
618,1
728,1
406,1
1,2
526,2
397,2
453,1
128,4
128,4
153,3
25,1
25,1
25,1
25,1
312,2
98,3
83,2
218,3
473,1
739,2
722,3
780,3
121,1
20,1
20,1
20,1
254,2
771,2
208,3
612,1
589,1
298,1
320,2
640,1
254,2
404,1
261,1
318,3
86,2
455,1
745,2
160,5
660,2
81,2
407,3
290,3
210,3
782,1
96,1
