src_value,dst_value
8894,2
8904,5
9653,5
8781,6
9480,6
9576,8
9463,5
9645,5
9643,6
9640,5
8866,6
8833,6
9602,5
9533,4
8880,6
8995,4
9078,6
9305,6
9056,2
8928,4
8847,6
9560,5
9580,8
9614,6
9614,6
8873,6
9455,6
9455,6
9502,5
9561,2
9531,8
9656,6
8898,5
8898,5
8948,6
9069,6
9333,5
9586,5
8856,4
8807,4
8801,8
9313,5
9583,8
8877,8
9410,8
9410,8
8819,6
8953,2
8867,2
9033,2
8832,2
8832,2
9343,4
9343,4
8859,2
9341,6
9052,6
9471,4
8960,6
9406,5
9604,8
9442,6
9579,4
8973,2
8918,5
8976,6
9513,4
9554,6
8836,6
9469,6
8945,8
9506,6
8875,6
9156,2
9370,8
8806,6
8942,8
9438,5
9001,6
8997,6
9536,4
9394,8
9084,4
9334,5
9642,5
8975,8
9588,2
9588,2
9335,5
9102,8
9266,2
9187,4
9181,2
8885,8
9009,2
8834,5
9045,5
9294,2
9129,2
9448,8
9213,8
9015,2
9467,7
8967,6
9485,8
9485,8
9034,2
9034,2
9098,6
9306,4
9300,6
9338,8
9581,2
9409,5
8886,2
9320,4
9673,2
9155,8
8952,6
8952,6
8783,5
9646,6
8980,5
8808,6
9303,6
9039,6
9584,5
8994,6
9481,5
9501,8
8913,2
9337,6
9337,6
9041,5
9080,6
8926,4
9535,5
9392,5
8929,2
9025,6
9013,2
9173,6
9124,2
9534,8
9439,6
9014,2
9384,4
9384,4
9620,6
8788,2
8851,8
9425,6
9257,6
8998,2
9570,2
9600,4
9466,6
9143,2
9376,8
8824,5
9315,6
9315,6
8939,8
8860,6
8914,6
8988,6
9198,6
9198,6
9199,8
9403,8
9318,5
8930,5
9453,6
9064,2
9398,8
9081,2
9668,6
9676,2
9578,4
8839,2
8839,2
9101,5
8816,2
9035,5
8907,6
9386,4
9227,5
9379,6
9445,6
9465,8
9527,6
9115,6
9381,8
8809,2
9423,6
9301,5
9553,1
8821,6
9417,8
8954,4
9369,4
9616,6
8870,6
9494,5
9194,6
9517,8
8946,4
9619,8
9046,6
9573,8
9525,5
9525,5
9618,6
9618,6
9044,2
9427,8
9148,5
9065,2
8931,6
9456,8
9117,2
9503,4
9585,2
9385,8
8990,6
8990,6
9090,6
8983,6
9621,5
8916,6
9413,8
9149,2
9499,8
9674,4
9592,4
8932,4
9196,6
9491,5
9170,5
9377,4
9245,8
9197,1
8882,2
9188,5
9587,2
9304,8
9404,8
9505,4
9016,5
8831,6
9086,8
9666,5
9631,4
8974,8
9603,8
8881,2
9488,6
9367,6
9460,5
8842,2
8911,6
9070,2
8968,5
9012,6
9012,6
9012,6
9012,6
9177,8
9217,8
8795,5
9524,5
9664,8
8999,8
8813,5
9094,5
9307,1
9307,1
9047,2
9160,5
9223,8
9289,8
8845,5
9222,1
9500,5
9108,5
9024,2
8857,5
9361,6
8792,8
8792,8
9658,6
9291,4
8917,5
9574,8
9628,2
9125,2
9407,6
9364,5
9230,6
9285,5
9462,6
9402,8
9163,5
8958,8
9139,2
9548,5
9519,5
9278,5
9167,2
8888,6
9482,5
9079,5
9431,5
9026,4
9555,5
9140,2
8799,6
9072,6
