src_value,dst_value
703,60
292,67
530,32
19,49
392,81
707,7
624,21
77,26
737,32
443,63
64,76
692,16
723,63
108,15
763,29
548,76
690,28
619,88
447,19
118,71
279,48
623,21
36,7
723,63
723,63
562,44
407,34
407,34
208,15
774,63
397,33
206,32
20,49
20,49
506,44
513,23
242,88
685,62
604,29
763,29
510,49
398,33
36,7
506,44
169,58
169,58
662,49
132,17
656,49
298,16
236,19
236,19
670,81
670,81
367,50
386,18
60,68
108,15
29,48
391,58
378,7
129,15
675,62
383,79
191,77
504,28
129,15
470,45
25,59
398,33
361,59
96,88
662,49
432,36
86,11
611,60
656,49
748,34
228,79
782,16
139,18
96,88
665,67
108,15
594,2
566,28
774,63
774,63
624,21
404,40
489,83
120,42
218,31
25,59
307,67
132,17
504,28
750,39
404,40
424,58
750,39
445,44
589,18
445,44
319,30
319,30
504,28
504,28
257,83
96,88
208,15
742,21
557,4
86,11
106,19
262,25
679,5
239,47
469,49
469,49
544,77
429,32
574,16
609,16
96,88
763,29
36,7
231,48
670,81
82,13
60,68
624,21
624,21
185,19
269,16
665,67
472,46
286,88
755,73
605,16
573,16
273,8
517,39
742,21
589,18
764,29
618,88
618,88
658,63
677,59
444,44
320,30
15,51
292,67
378,7
594,2
108,15
166,83
428,58
608,28
251,18
251,18
703,60
382,19
469,49
113,75
489,83
489,83
404,40
108,15
641,66
722,23
748,34
690,28
520,66
568,50
737,32
679,5
245,2
445,44
445,44
10,27
132,17
107,19
60,68
80,30
44,31
322,34
641,66
86,11
418,21
625,83
471,45
142,28
599,33
613,30
299,82
64,76
599,33
763,29
406,34
553,2
162,23
619,88
13,51
613,30
113,75
3,1
49,16
660,2
471,45
471,45
723,63
723,63
345,29
471,45
488,83
760,75
445,44
597,30
127,42
251,18
525,7
654,15
651,69
651,69
499,27
763,29
557,4
7,48
262,25
70,37
580,9
679,5
554,2
548,76
621,31
300,82
70,37
242,88
776,41
166,83
49,16
643,24
480,1
85,9
96,88
262,25
141,28
409,28
231,48
302,26
452,3
157,20
1,1
548,76
86,11
86,11
471,45
132,17
763,29
132,17
379,59
513,23
513,23
513,23
513,23
282,61
440,40
511,60
397,33
314,64
142,28
283,60
758,27
641,66
641,66
446,28
196,36
499,27
24,6
757,65
121,42
589,18
427,41
7,48
676,59
521,88
468,49
468,49
314,64
475,47
228,79
689,1
8,63
776,41
748,34
287,88
433,43
239,47
98,82
86,11
354,41
445,44
749,39
424,58
742,21
776,41
459,42
681,23
618,88
60,68
742,21
191,77
33,58
771,43
256,49
379,59
25,59
776,41
776,41
526,74
526,74
671,82
251,18
387,18
282,61
777,41
264,6
129,15
129,15
170,58
320,30
156,26
247,71
382,19
397,33
763,29
408,28
280,48
742,21
352,42
416,37
641,66
42,19
769,62
318,49
78,43
408,28
197,39
548,76
145,4
234,32
445,44
445,44
597,30
100,84
475,47
19,49
656,49
282,61
282,61
24,6
211,23
641,66
433,43
262,25
197,39
320,30
275,24
2,1
120,42
748,34
748,34
748,34
455,27
521,88
771,43
407,34
537,3
632,38
208,15
685,62
372,32
251,18
315,27
775,36
118,71
707,7
564,36
120,42
774,63
397,33
239,47
129,15
597,30
251,18
774,63
589,18
378,7
407,34
717,84
717,84
112,61
112,61
397,33
763,29
35,52
568,50
566,28
59,77
318,49
156,26
236,19
62,19
114,1
262,25
371,31
382,19
643,24
643,24
469,49
469,49
542,22
284,49
671,82
73,32
73,32
94,51
599,33
96,88
96,88
740,51
367,50
358,73
609,16
302,26
606,65
273,8
44,31
720,83
459,42
269,16
269,16
269,16
599,33
56,48
56,48
719,23
641,66
170,58
447,19
86,11
748,34
262,25
594,2
157,20
457,61
457,61
242,88
81,10
55,63
472,46
8,63
511,60
257,83
461,36
670,81
445,44
750,39
380,22
641,66
510,49
256,49
757,65
274,42
70,37
242,88
263,24
129,15
129,15
433,43
132,17
750,39
669,21
662,49
86,11
298,16
269,16
315,27
315,27
526,74
489,83
112,61
78,43
282,61
471,45
471,45
669,21
460,40
538,3
317,72
141,28
132,17
127,42
274,42
82,13
86,11
594,2
722,23
751,62
742,21
742,21
742,21
777,41
590,18
461,36
686,62
566,28
606,65
513,23
157,20
170,58
252,18
519,66
483,58
483,58
82,13
353,38
668,21
118,71
427,41
748,34
748,34
748,34
367,50
677,59
668,21
425,43
686,62
426,3
197,39
685,62
397,33
60,68
60,68
211,23
471,45
367,50
261,25
262,25
526,74
450,51
450,51
81,10
262,25
310,73
251,18
157,20
679,5
3,1
775,36
367,50
459,42
417,27
148,82
720,83
191,77
665,67
228,79
353,38
108,15
585,59
668,21
378,7
378,7
544,77
24,6
646,80
448,19
407,34
312,40
515,50
319,30
254,38
274,42
8,63
459,42
320,30
242,88
640,66
106,19
518,39
779,51
273,8
118,71
118,71
157,20
157,20
763,29
618,88
618,88
618,88
371,31
471,45
740,51
279,48
239,47
228,79
80,30
624,21
358,73
127,42
127,42
570,6
680,23
763,29
80,30
371,31
73,32
538,3
118,71
636,71
636,71
45,71
164,20
368,50
164,20
120,42
367,50
97,88
619,88
78,43
82,13
82,13
239,47
442,63
499,27
495,63
676,59
496,48
777,41
459,42
404,40
108,15
548,76
127,42
282,61
110,75
750,39
447,19
258,26
282,61
247,71
81,10
81,10
81,10
308,73
308,73
429,32
3,1
599,33
578,70
97,88
635,72
589,18
236,19
585,59
236,19
313,78
55,63
713,27
543,19
269,16
284,49
262,25
210,23
81,10
287,88
104,59
273,8
273,8
656,49
367,50
105,23
654,15
97,88
353,38
379,59
624,21
589,18
417,27
678,5
466,6
323,34
81,10
42,19
578,70
641,66
318,49
742,21
742,21
685,62
685,62
685,62
455,27
54,27
656,49
690,28
51,20
51,20
73,32
450,51
417,27
489,83
60,68
755,73
755,73
728,31
7,48
274,42
98,82
685,62
131,17
671,82
262,25
665,67
247,71
247,71
679,5
220,48
176,63
580,9
36,7
251,18
397,33
246,32
455,27
557,4
585,59
593,78
39,31
782,16
728,31
584,58
44,31
531,32
164,20
606,65
82,13
634,27
466,6
371,31
295,48
242,88
242,88
242,88
44,31
262,25
548,76
206,32
725,19
480,1
465,43
354,41
589,18
94,51
282,61
609,16
456,61
722,23
392,81
81,10
262,25
643,24
363,19
724,70
686,62
528,51
445,44
284,49
112,61
723,63
723,63
127,42
254,38
608,28
242,88
433,43
470,45
81,10
81,10
397,33
315,27
146,82
421,15
311,51
562,44
578,70
392,81
127,42
262,25
5,2
633,36
633,36
20,49
113,75
112,61
185,19
487,7
771,43
643,24
166,83
248,23
228,79
81,10
323,34
82,13
679,5
440,40
404,40
383,79
4,7
4,7
8,63
319,30
141,28
55,63
242,88
764,29
763,29
713,27
758,27
274,42
499,27
723,63
315,27
274,42
266,21
676,59
589,18
618,88
728,31
406,34
1,1
526,74
397,33
453,39
128,15
128,15
153,7
25,59
25,59
25,59
25,59
312,40
98,82
83,12
218,31
473,46
739,4
722,23
780,51
121,42
20,49
20,49
20,49
254,38
771,43
208,15
612,60
589,18
298,16
320,30
640,66
254,38
404,40
261,25
318,49
86,11
455,27
745,41
160,58
660,2
81,10
407,34
290,67
210,23
782,16
96,88
397,33
274,42
599,33
433,43
131,17
36,7
86,11
510,49
621,31
593,78
298,16
129,15
660,2
662,49
741,21
322,34
185,19
546,79
345,29
86,11
131,17
776,41
118,71
544,77
164,20
581,9
82,13
472,46
383,79
764,29
185,19
427,41
266,21
295,48
295,48
70,37
291,67
291,67
617,26
445,44
673,27
728,31
77,26
272,63
44,31
378,7
564,36
251,18
112,61
112,61
129,15
521,88
296,6
138,18
604,29
296,6
228,79
593,78
82,13
354,41
354,41
496,48
496,48
320,30
398,33
553,2
670,81
157,20
312,40
312,40
157,20
15,51
760,75
475,47
147,82
142,28
63,19
262,25
297,16
471,45
353,38
651,69
407,34
248,23
613,30
763,29
606,65
263,24
132,17
594,2
775,36
679,5
594,2
553,2
393,30
717,84
623,21
151,84
382,19
382,19
382,19
469,49
127,42
98,82
383,79
650,51
650,51
251,18
500,60
673,27
757,65
60,68
275,24
450,51
597,30
153,7
273,8
378,7
275,24
771,43
82,13
408,28
693,16
703,60
703,60
539,19
606,65
670,81
504,28
471,45
471,45
373,32
352,42
777,41
262,25
186,19
711,1
585,59
585,59
46,69
185,19
645,29
470,45
746,37
686,62
686,62
274,42
132,17
750,39
634,27
774,63
459,42
1,1
228,79
624,21
286,88
729,48
354,41
657,64
443,63
127,42
370,84
590,18
640,66
416,37
320,30
318,49
286,88
558,62
53,27
385,49
231,48
776,41
641,66
476,47
81,10
299,82
96,88
284,49
284,49
284,49
689,1
612,60
679,5
29,48
252,18
31,18
481,1
316,69
562,44
367,50
594,2
447,19
225,16
644,80
8,63
542,22
640,66
671,82
383,79
383,79
322,34
38,7
383,79
655,49
734,84
671,82
654,15
589,18
662,49
662,49
782,16
659,63
659,63
562,44
118,71
654,15
471,45
610,16
557,4
611,60
519,66
3,1
242,88
553,2
291,67
511,60
739,4
608,28
224,58
585,59
383,79
61,19
60,68
61,19
322,34
247,71
262,25
83,12
757,65
242,88
224,58
236,19
557,4
536,19
500,60
420,21
407,34
169,58
169,58
764,29
42,19
608,28
517,39
274,42
282,61
257,83
644,80
181,83
445,44
677,59
692,16
82,13
671,82
162,23
447,19
127,42
132,17
39,31
302,26
777,41
764,29
722,23
526,74
286,88
786,7
202,26
597,30
643,24
380,22
466,6
286,88
96,88
407,34
96,88
262,25
473,46
475,47
239,47
671,82
417,27
651,69
127,42
717,84
309,78
471,45
131,17
96,88
397,33
757,65
60,68
445,44
373,32
312,40
371,31
380,22
380,22
296,6
