src_value,dst_value
8894,5
8904,7
9653,10
8781,11
9480,14
9576,14
9463,20
9645,20
9643,20
9640,23
8866,24
8833,24
9602,2
9533,10
8880,11
8995,13
9078,14
9305,15
9056,15
8928,17
8847,4
9560,5
9580,11
9614,11
9614,11
8873,13
9455,15
9455,15
9502,15
9561,15
9531,16
9656,16
8898,16
8898,16
8948,22
9069,3
9333,5
9586,7
8856,9
8807,9
8801,12
9313,13
9583,13
8877,13
9410,14
9410,14
8819,15
8953,15
8867,17
9033,19
8832,23
8832,23
9343,24
9343,24
8859,2
9341,13
9052,16
9471,5
8960,9
9406,12
9604,14
9442,16
9579,19
8973,22
8918,23
8976,24
9513,1
9554,5
8836,13
9469,17
8945,18
9506,3
8875,5
9156,8
9370,11
8806,11
8942,13
9438,14
9001,15
8997,18
9536,19
9394,21
9084,23
9334,7
9642,7
8975,12
9588,13
9588,13
9335,15
9102,15
9266,16
9187,16
9181,16
8885,16
9009,17
8834,18
9045,21
9294,24
9129,6
9448,10
9213,10
9015,11
9467,11
8967,12
9485,17
9485,17
9034,18
9034,18
9098,19
9306,20
9300,22
9338,22
9581,22
9409,24
8886,24
9320,1
9673,2
9155,3
8952,4
8952,4
8783,7
9646,8
8980,9
8808,11
9303,12
9039,12
9584,12
8994,15
9481,18
9501,22
8913,1
9337,3
9337,3
9041,5
9080,5
8926,6
9535,10
9392,10
8929,13
9025,14
9013,18
9173,18
9124,19
9534,6
9439,7
9014,11
9384,12
9384,12
9620,12
8788,12
8851,13
9425,13
9257,13
8998,13
9570,13
9600,15
9466,17
9143,17
9376,18
8824,21
9315,24
9315,24
8939,18
8860,19
8914,22
8988,23
9198,7
9198,7
9199,8
9403,11
9318,12
8930,12
9453,16
9064,16
9398,17
9081,17
9668,17
9676,18
9578,20
8839,21
8839,21
9101,23
8816,23
9035,24
8907,1
9386,3
9227,7
9379,9
9445,15
9465,19
9527,19
9115,3
9381,5
8809,6
9423,9
9301,13
9553,14
8821,14
9417,15
8954,21
9369,2
9616,4
8870,9
9494,10
9194,10
9517,11
8946,13
9619,14
9046,14
9573,14
9525,15
9525,15
9618,15
9618,15
9044,16
9427,17
9148,17
9065,5
8931,6
9456,9
9117,9
9503,10
9585,11
9385,14
8990,14
8990,14
9090,14
8983,16
9621,17
8916,17
9413,18
9149,18
9499,20
9674,22
9592,1
8932,5
9196,6
9491,7
9170,15
9377,19
9245,19
9197,21
8882,14
9188,16
9587,16
9304,17
9404,18
9505,19
9016,19
8831,22
9086,24
9666,3
9631,9
8974,13
9603,13
8881,13
9488,15
9367,18
9460,19
