src_value,dst_value
1,1
2,1
3,1
4,1
5,4
6,3
7,4
8,3
9,1
10,1
11,6
12,1
13,1
14,6
15,1
16,6
17,1
18,1
19,1
20,6
21,1
22,1
23,3
24,1
25,4
26,3
27,4
28,1
29,3
30,3
31,3
32,4
33,5
34,1
35,1
36,1
37,3
38,6
39,6
40,1
41,1
42,3
43,1
44,3
45,1
46,4
47,3
48,1
49,1
50,1
51,1
52,4
53,1
54,4
55,1
56,4
57,4
58,4
59,6
60,1
61,3
62,1
63,3
64,1
65,3
66,1
67,6
68,1
69,4
70,1
71,1
72,1
73,1
74,1
75,3
76,1
77,3
78,1
79,3
80,1
81,3
82,4
83,1
84,4
85,1
86,3
87,4
88,4
89,1
90,6
91,1
92,5
93,3
94,4
95,6
96,1
97,3
98,1
99,1
100,1
101,6
102,3
103,5
104,3
105,1
106,1
107,1
108,4
109,1
110,4
111,6
112,1
113,6
114,1
115,1
116,1
117,1
118,1
119,4
120,1
121,1
122,1
123,6
124,3
125,3
126,3
127,5
128,4
129,1
130,6
131,6
132,1
133,4
134,1
135,6
136,1
137,1
138,6
139,1
140,1
141,4
142,1
143,3
144,1
145,1
146,1
147,1
148,4
149,5
150,1
151,6
152,1
153,1
154,1
155,1
156,3
157,1
158,1
159,1
160,1
161,4
162,4
163,3
164,1
165,1
166,4
167,6
168,6
169,1
170,3
171,6
172,3
173,1
174,4
175,3
176,3
177,1
178,3
179,6
180,1
181,4
182,1
183,1
184,1
185,1
186,1
187,1
188,3
189,1
190,6
191,1
192,1
193,3
194,1
195,3
196,4
197,1
198,4
199,3
200,1
201,3
202,1
203,4
204,1
205,1
206,3
207,3
208,3
209,3
210,3
211,4
212,4
213,4
214,4
215,3
216,1
217,1
218,1
219,1
220,1
221,6
222,3
223,3
224,6
225,1
226,1
227,1
228,1
229,3
230,3
231,3
232,3
233,3
234,3
235,1
236,1
237,1
238,1
239,6
240,6
241,3
242,1
243,1
244,1
245,1
246,6
247,3
248,5
249,3
250,6
251,1
252,6
253,6
254,1
255,1
256,1
257,3
258,3
259,3
260,1
261,3
262,1
263,1
264,4
265,4
266,4
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,3
275,6
276,1
277,3
278,1
279,1
280,3
281,3
282,1
283,3
284,6
285,6
286,1
287,1
288,6
289,4
290,4
291,1
292,4
293,3
294,1
295,4
296,1
297,1
298,1
299,1
300,3
301,3
302,6
303,3
304,3
305,1
306,3
307,1
308,5
309,1
310,1
311,6
312,3
313,1
314,1
315,1
316,3
317,3
318,6
319,1
320,6
321,6
322,1
323,4
324,4
325,1
326,1
327,1
328,6
329,3
330,1
331,4
332,1
333,3
334,1
335,6
336,6
337,3
338,6
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,3
347,3
348,5
349,1
350,6
351,2
352,6
353,6
354,2
355,3
356,3
357,1
358,6
359,1
360,4
361,1
362,4
363,4
364,1
365,3
366,1
367,1
368,3
369,3
370,6
371,5
372,3
373,4
374,4
375,4
376,1
377,1
378,5
379,1
380,3
381,6
382,6
383,1
384,1
385,1
386,1
387,6
388,3
389,6
390,5
391,3
392,1
393,3
394,3
395,6
396,4
397,4
398,1
399,6
400,1
401,1
402,1
403,4
404,4
405,1
406,3
407,3
408,1
409,6
410,4
411,3
412,6
413,1
414,1
415,1
416,6
417,6
418,3
419,1
420,1
421,1
422,1
423,1
424,6
425,1
426,1
427,3
428,3
429,1
430,3
431,1
432,1
433,1
434,3
435,3
436,1
437,4
438,1
439,4
440,6
441,5
442,5
443,4
444,4
445,4
446,1
447,1
448,4
449,3
450,5
451,1
452,1
453,1
454,5
455,1
456,1
457,1
458,1
459,4
460,1
461,3
462,1
463,3
464,1
465,1
466,1
467,3
468,3
469,1
470,6
471,1
472,5
473,1
474,3
475,6
476,3
477,1
478,3
479,1
480,4
481,1
482,1
483,4
484,1
485,1
486,1
487,4
488,1
489,4
490,4
491,1
492,1
493,1
494,1
495,3
496,1
497,1
498,4
499,1
500,3
501,1
502,6
503,6
504,3
505,6
506,6
507,6
508,4
509,1
510,1
511,1
512,4
513,1
514,4
515,6
516,3
517,6
518,4
519,1
520,1
521,1
522,1
523,1
524,3
525,1
526,3
527,4
528,5
529,3
530,1
531,1
532,6
533,4
534,4
535,4
536,3
537,3
538,1
539,1
540,3
541,5
542,4
543,1
544,1
545,6
546,6
547,3
548,3
549,3
550,1
551,1
552,5
553,4
554,4
555,1
556,3
557,1
558,1
559,1
560,3
561,1
562,3
563,6
564,3
565,1
566,1
567,6
568,3
569,4
570,1
571,3
572,1
573,1
574,3
575,4
576,1
577,6
578,3
579,3
580,1
581,3
582,6
583,1
584,3
585,3
586,3
587,3
588,6
589,1
590,6
591,6
592,1
593,3
594,3
595,3
596,4
597,4
598,1
599,1
600,6
601,4
