lga_sk,lga
1,Adelaide
2,Adelaide Hills
3,Adelaide Plains
4,Adelaide Plains
5,Albany
6,Albury
7,Alexandrina
8,Alice Springs
9,Alpine
10,Anangu Pitjantjatjara Yankunytjatjara
11,Ararat
12,Ararat
13,Armadale
14,Armidale
15,Ashburton
16,Augusta Margaret River
17,Ballarat
18,Ballina
19,Balonne
20,Balranald
21,Banana
22,Banyule
23,Barcaldine
24,Barcoo
25,Barkly
26,Barossa
27,Barossa
28,Barunga West
29,Bass Coast
30,Bassendean
31,Bathurst
32,Baw Baw
33,Bayside (NSW)
34,Bayside (NSW)
35,Bayside (Vic.)
36,Bayswater
37,Bega Valley
38,Bellingen
39,Belmont
40,Benalla
41,Berri Barmera
42,Berrigan
43,Beverley
44,Blacktown
45,Blacktown
46,Bland
47,Blayney
48,Blue Mountains
49,Boddington
50,Bogan
51,Boroondara
52,Bourke
53,Boyup Brook
54,Break O'Day
55,Brewarrina
56,Bridgetown-Greenbushes
57,Brighton
58,Brimbank
59,Brimbank
60,Brisbane
61,Brisbane
62,Brisbane
63,Brisbane
64,Brisbane
65,Brisbane
66,Broken Hill
67,Brookton
68,Broome
69,Broomehill-Tambellup
70,Bruce Rock
71,Bulloo
72,Buloke
73,Bunbury
74,Bundaberg
75,Burdekin
76,Burke
77,Burnie
78,Burnside
79,Burwood
80,Busselton
81,Byron
82,Cabonne
83,Cabonne
84,Cairns
85,Cambridge
86,Camden
87,Camden
88,Campaspe
89,Campbelltown (NSW)
90,Campbelltown (SA)
91,Canada Bay
92,Canning
93,Canterbury-Bankstown
94,Canterbury-Bankstown
95,Capel
96,Cardinia
97,Carnamah
98,Carnarvon
99,Carpentaria
100,Carrathool
101,Casey
102,Cassowary Coast
103,Ceduna
104,Central Coast (NSW)
105,Central Coast (Tas.)
106,Central Darling
107,Central Desert
108,Central Goldfields
109,Central Highlands (Qld)
110,Central Highlands (Tas.)
111,Cessnock
112,Chapman Valley
113,Charles Sturt
114,Charters Towers
115,Chittering
116,Circular Head
117,Clare and Gilbert Valleys
118,Claremont
119,Clarence
120,Clarence Valley
121,Cleve
122,Cloncurry
123,Cobar
124,Cockburn
125,Coffs Harbour
126,Colac Otway
127,Collie
128,Coober Pedy
129,Cook
130,Coolamon
131,Coolgardie
132,Coomalie 
133,Coonamble
134,Coorong
135,Cootamundra-Gundagai
136,Copper Coast
137,Corangamite
138,Corrigin
139,Cottesloe 
140,Cowra
141,Cranbrook
142,Croydon
143,Cuballing
144,Cue
145,Cumberland
146,Cunderdin
147,Dalwallinu
148,Dandaragan
149,Dardanup
150,Darebin
151,Darebin
152,Darwin
153,Denmark
154,Derby-West Kimberley
155,Derwent Valley
156,Derwent Valley
157,Devonport
158,Donnybrook-Balingup
159,Doomadgee
160,Dorset
161,Douglas
162,Dowerin
163,Dubbo
164,Dumbleyung
165,Dundas
166,Dungog
167,East Arnhem
168,East Gippsland
169,East Pilbara
170,Edward River
171,Elliston
172,Esperance
173,Etheridge
174,Eurobodalla
175,Exmouth
176,Fairfield
177,Fairfield
178,Federation
179,Federation
180,Flinders (Qld)
181,Flinders (Tas.)
182,Flinders Ranges
183,Forbes
184,Franklin Harbour
185,Frankston
186,Fraser Coast
187,Fremantle
188,Gannawarra
189,Gawler
190,George Town
191,Georges River
192,Gilgandra
193,Gingin
194,Gladstone
195,Glamorgan-Spring Bay
196,Glen Eira
197,Glen Innes Severn
198,Glenelg
199,Glenorchy
200,Gnowangerup
201,Gold Coast
202,Golden Plains
203,Golden Plains
204,Goomalling
205,Goondiwindi
206,Gosnells
207,Goulburn Mulwaree
208,Goyder
209,Grant
210,Greater Bendigo
211,Greater Dandenong
212,Greater Geelong
213,Greater Geraldton
214,Greater Hume
215,Greater Shepparton
216,Greater Shepparton
217,Griffith
218,Gunnedah
219,Gwydir
220,Gympie
221,Halls Creek
222,Harvey
223,Hawkesbury
224,Hawkesbury
225,Hay
226,Hepburn
227,Hilltops
228,Hinchinbrook
229,Hindmarsh
230,Hobart
231,Hobsons Bay
