src_value,dst_value
1,8894
2,8904
3,9653
4,8781
5,9480
6,9576
7,9463
8,9645
9,9643
10,9640
11,8866
12,8833
13,9602
14,9533
15,8880
16,8995
17,9078
18,9305
19,9056
20,8928
21,8847
22,9560
23,9580
24,9614
25,9614
26,8873
27,9455
28,9455
29,9502
30,9561
31,9531
32,9656
33,8898
34,8898
35,8948
36,9069
37,9333
38,9586
39,8856
40,8807
41,8801
42,9313
43,9583
44,8877
45,9410
46,9410
47,8819
48,8953
49,8867
50,9033
51,8832
52,8832
53,9343
54,9343
55,8859
56,9341
57,9052
58,9471
59,8960
60,9406
61,9604
62,9442
63,9579
64,8973
65,8918
66,8976
67,9513
68,9554
69,8836
70,9469
71,8945
72,9506
73,8875
74,9156
75,9370
76,8806
77,8942
78,9438
79,9001
80,8997
81,9536
82,9394
83,9084
84,9334
85,9642
86,8975
87,9588
88,9588
89,9335
90,9102
91,9266
92,9187
93,9181
94,8885
95,9009
96,8834
97,9045
98,9294
99,9129
100,9448
101,9213
102,9015
103,9467
104,8967
105,9485
106,9485
107,9034
108,9034
109,9098
110,9306
111,9300
112,9338
113,9581
114,9409
115,8886
116,9320
117,9673
118,9155
119,8952
120,8952
121,8783
122,9646
123,8980
124,8808
125,9303
126,9039
127,9584
128,8994
129,9481
130,9501
131,8913
132,9337
133,9337
134,9041
135,9080
136,8926
137,9535
138,9392
139,8929
140,9025
141,9013
142,9173
143,9124
144,9534
145,9439
146,9014
147,9384
148,9384
149,9620
150,8788
151,8851
152,9425
153,9257
154,8998
155,9570
156,9600
157,9466
158,9143
159,9376
160,8824
161,9315
162,9315
163,8939
164,8860
165,8914
166,8988
167,9198
168,9198
169,9199
170,9403
171,9318
172,8930
173,9453
174,9064
175,9398
176,9081
177,9668
178,9676
179,9578
180,8839
181,8839
182,9101
183,8816
184,9035
185,8907
186,9386
187,9227
188,9379
189,9445
190,9465
191,9527
192,9115
193,9381
194,8809
195,9423
196,9301
197,9553
198,8821
199,9417
200,8954
201,9369
202,9616
203,8870
204,9494
205,9194
206,9517
207,8946
208,9619
209,9046
210,9573
211,9525
212,9525
213,9618
214,9618
215,9044
216,9427
217,9148
218,9065
219,8931
220,9456
221,9117
222,9503
223,9585
224,9385
225,8990
226,8990
227,9090
228,8983
229,9621
230,8916
231,9413
232,9149
233,9499
234,9674
235,9592
236,8932
237,9196
238,9491
239,9170
240,9377
241,9245
242,9197
243,8882
244,9188
245,9587
246,9304
247,9404
248,9505
249,9016
250,8831
251,9086
252,9666
253,9631
254,8974
255,9603
256,8881
257,9488
258,9367
259,9460
260,8842
261,8911
262,9070
263,8968
264,9012
265,9012
266,9012
267,9012
268,9177
269,9217
270,8795
271,9524
272,9664
273,8999
274,8813
275,9094
276,9307
277,9307
278,9047
279,9160
280,9223
281,9289
282,8845
283,9222
284,9500
285,9108
286,9024
287,8857
288,9361
289,8792
290,8792
291,9658
292,9291
293,8917
294,9574
295,9628
296,9125
297,9407
298,9364
299,9230
300,9285
301,9462
302,9402
303,9163
304,8958
305,9139
306,9548
307,9519
308,9278
309,9167
310,8888
311,9482
312,9079
313,9431
314,9026
315,9555
316,9140
317,8799
318,9072
319,9082
320,9184
321,9201
322,8978
323,8978
324,9363
325,9523
326,9496
327,9249
328,9128
329,9189
330,9405
331,9405
332,9308
333,9476
334,9657
335,8850
336,8965
337,9375
338,9002
339,9000
340,8922
341,9530
342,9232
343,9220
344,9340
345,8919
346,9622
347,8910
348,9221
349,8890
350,9127
351,8796
352,9626
353,9663
354,9032
355,9032
356,9309
357,9651
358,9224
359,8906
360,8989
361,9191
362,9191
363,9229
364,9031
365,9322
366,9262
367,9329
368,9138
369,9451
370,9286
371,9594
372,9157
373,9522
374,9522
375,9522
376,9236
377,9437
378,9118
379,9420
380,9567
381,9132
382,9400
383,9601
384,9665
385,9319
386,9209
387,9111
388,9063
389,9625
390,9135
391,9215
392,9595
393,9316
394,9154
395,9510
396,9538
397,9355
398,9605
399,9382
400,9599
401,9528
402,9644
403,9644
404,9164
405,9164
406,9360
407,8955
408,9670
409,8865
410,9003
411,9043
412,8981
413,9662
414,9071
415,9077
416,9637
417,9459
418,9242
419,9085
420,9142
421,9142
422,9021
423,9021
424,9671
425,9038
426,9302
427,9654
428,9654
429,9103
430,9464
431,9378
432,9378
433,9219
434,8889
435,8861
436,8938
437,9661
438,9008
439,9105
440,9299
441,9273
442,9183
443,8825
444,8825
445,8825
446,9486
447,8811
448,8811
449,8810
450,9541
451,9429
452,8982
453,9414
454,9468
455,9492
456,9563
457,9076
458,9175
459,9175
460,9388
461,9339
462,9565
463,9473
464,9609
465,8987
466,9293
467,9252
468,9317
469,8815
470,9264
471,9669
472,9371
473,8782
474,9055
475,9027
476,9099
477,9171
478,9416
479,9231
480,9412
481,9412
482,9192
483,8871
484,9182
485,9507
486,8897
487,9452
488,8969
489,8876
490,9297
491,9297
492,9028
493,9241
494,9269
495,9122
496,9089
497,9539
498,9539
499,9358
500,9214
501,9630
502,8826
503,8984
504,8803
505,9162
506,9275
507,9435
508,9372
509,9610
510,8849
511,9638
512,9348
513,9348
514,9348
515,9272
516,9443
517,9210
518,9582
519,8921
520,8903
521,8789
522,9030
523,9450
524,9458
525,9556
526,9353
527,9346
528,9399
529,9268
530,9312
531,8977
532,9284
533,9449
534,9449
535,9449
536,8879
537,8853
538,9550
539,9096
