src_value,dst_value
8894,1
8904,1
9653,1
8781,1
9480,1
9576,1
9463,219
9645,219
9643,219
9640,219
8866,219
8833,219
9602,404
9533,438
8880,438
8995,438
9078,438
9305,438
9056,438
8928,438
8847,599
9560,599
9580,599
9614,599
9614,599
8873,599
9455,599
9455,599
9502,599
9561,599
9531,599
9656,599
8898,599
8898,599
8948,599
9069,685
9333,685
9586,685
8856,685
8807,685
8801,685
9313,685
9583,685
8877,685
9410,685
9410,685
8819,685
8953,685
8867,685
9033,685
8832,685
8832,685
9343,685
9343,685
8859,807
9341,807
9052,807
9471,908
8960,908
9406,908
9604,908
9442,908
9579,908
8973,908
8918,908
8976,908
9513,1016
9554,1016
8836,1016
9469,1016
8945,1016
9506,238
8875,238
9156,238
9370,238
8806,238
8942,238
9438,238
9001,238
8997,238
9536,249
9394,249
9084,249
9334,319
9642,319
8975,319
9588,319
9588,319
9335,319
9102,319
9266,319
9187,319
9181,319
8885,319
9009,319
8834,319
9045,319
9294,319
9129,548
9448,548
9213,548
9015,548
9467,548
8967,548
9485,548
9485,548
9034,548
9034,548
9098,548
9306,548
9300,548
9338,548
9581,548
9409,548
8886,548
9320,723
9673,723
9155,723
8952,723
8952,723
8783,723
9646,723
8980,723
8808,723
9303,723
9039,723
9584,723
8994,723
9481,723
9501,723
8913,800
9337,800
9337,800
9041,800
9080,800
8926,800
9535,800
9392,800
8929,800
9025,800
9013,800
9173,800
9124,800
9534,1000
9439,1000
9014,1000
9384,1000
9384,1000
9620,1000
8788,1000
8851,1000
9425,1000
9257,1000
8998,1000
9570,1000
9600,1000
9466,1000
9143,1000
9376,1000
8824,1000
9315,1000
9315,1000
8939,1004
8860,1004
8914,1004
8988,1004
9198,210
9198,210
9199,210
9403,210
9318,210
8930,210
9453,210
9064,210
9398,210
9081,210
9668,210
9676,210
9578,242
8839,242
8839,242
9101,242
8816,242
9035,242
8907,442
9386,442
9227,461
9379,461
9445,461
9465,461
9527,461
9115,527
9381,527
8809,527
9423,527
9301,527
9553,527
8821,527
9417,527
8954,527
9369,682
9616,682
8870,682
9494,682
9194,682
9517,682
8946,682
9619,682
9046,682
9573,682
9525,682
9525,682
9618,682
9618,682
9044,682
9427,682
9148,682
9065,804
8931,804
9456,804
9117,804
9503,804
9585,804
9385,804
8990,804
8990,804
9090,804
8983,804
9621,804
8916,804
9413,804
9149,804
9499,804
9674,804
9592,884
8932,884
9196,884
9491,884
9170,884
9377,884
9245,884
9197,884
8882,1074
9188,1074
9587,1074
9304,1074
9404,1074
9505,1074
9016,1074
8831,1074
9086,1074
9666,237
9631,237
8974,237
9603,237
8881,237
9488,237
9367,237
9460,241
8842,241
8911,241
9070,241
8968,241
9012,241
9012,241
9012,241
9012,241
9177,409
9217,409
8795,409
9524,409
9664,409
8999,409
8813,409
9094,409
9307,494
9307,494
9047,494
9160,494
9223,494
9289,494
8845,494
9222,494
9500,494
9108,494
9024,494
8857,494
9361,718
8792,718
8792,718
9658,718
9291,718
8917,718
9574,718
9628,718
9125,718
9407,718
9364,718
9230,718
9285,718
9462,843
9402,843
9163,843
8958,843
9139,843
9548,843
9519,843
9278,843
9167,843
8888,843
9482,890
9079,890
9431,890
9026,1098
9555,1098
9140,1098
8799,1098
9072,1098
9082,1098
9184,1098
9201,1098
8978,1098
8978,1098
9363,253
9523,253
9496,253
9249,253
9128,253
9189,253
9405,253
9405,253
9308,253
9476,253
9657,253
8850,253
8965,253
9375,235
9002,235
9000,235
8922,235
9530,235
9232,428
9220,428
9340,432
8919,432
9622,432
8910,432
9221,432
8890,432
9127,432
8796,432
9626,432
9663,530
9032,530
9032,530
9309,530
9651,530
9224,530
8906,530
8989,530
9191,530
9191,530
9229,530
9031,530
9322,530
9262,530
9329,629
9138,629
9451,629
9286,629
9594,629
9157,629
9522,629
9522,629
9522,629
9236,629
9437,858
9118,858
9420,858
9567,858
9132,858
9400,858
9601,858
9665,858
9319,894
9209,894
9111,894
9063,894
9625,894
9135,894
9215,894
9595,894
9316,1092
9154,1092
9510,1092
9538,1092
9355,1092
9605,1092
9382,250
9599,250
9528,250
9644,250
9644,250
9164,250
9164,250
9360,250
8955,250
9670,250
8865,250
9003,229
9043,382
8981,382
9662,382
9071,382
9077,382
9637,382
9459,382
9242,382
9085,382
9142,382
9142,382
9021,382
9021,382
9671,382
9038,547
9302,547
9654,547
9654,547
9103,547
9464,547
9378,547
9378,547
9219,547
8889,547
8861,547
8938,646
9661,646
9008,646
9105,646
9299,646
9273,646
9183,646
8825,646
8825,646
8825,646
9486,646
8811,646
8811,646
8810,646
9541,646
9429,646
8982,646
9414,775
9468,775
9492,775
9563,775
9076,775
9175,775
9175,775
9388,775
9339,775
9565,775
9473,775
9609,775
8987,775
9293,878
9252,878
9317,878
8815,878
9264,878
9669,878
9371,878
8782,878
9055,878
9027,878
9099,878
9171,878
9416,878
9231,878
9412,878
