src_value,dst_value
8894,455
8904,203
9653,351
8781,12
9480,269
9576,457
9463,409
9645,52
9643,479
9640,297
8866,43
8833,447
9602,469
9533,72
8880,494
8995,363
9078,446
9305,406
9056,299
8928,80
8847,195
9560,409
9580,24
9614,469
9614,469
8873,374
9455,277
9455,277
9502,145
9561,501
9531,271
9656,144
8898,12
8898,12
8948,332
9069,338
9333,168
9586,443
8856,399
8807,494
8801,335
9313,271
9583,24
8877,332
9410,115
9410,115
8819,431
8953,90
8867,426
9033,206
8832,165
8832,165
9343,434
9343,434
8859,253
9341,266
9052,40
9471,72
8960,18
9406,268
9604,260
9442,88
9579,438
8973,264
8918,131
8976,331
9513,88
9554,311
8836,16
9469,271
8945,250
9506,63
8875,431
9156,291
9370,54
8806,403
8942,426
9438,485
9001,160
8997,506
9536,95
9394,63
9084,432
9334,72
9642,394
8975,377
9588,501
9588,501
9335,409
9102,276
9266,323
9187,82
9181,152
8885,16
9009,213
8834,90
9045,331
9294,486
9129,276
9448,284
9213,486
9015,298
9467,390
8967,298
9485,221
9485,221
9034,331
9034,331
9098,180
9306,63
9300,145
9338,482
9581,370
9409,54
8886,71
9320,183
9673,440
9155,167
8952,310
8952,310
8783,362
9646,289
8980,381
8808,402
9303,63
9039,494
9584,24
8994,161
9481,434
9501,54
8913,40
9337,409
9337,409
9041,126
9080,188
8926,432
9535,311
9392,200
8929,490
9025,400
9013,381
9173,191
9124,342
9534,482
9439,390
9014,494
9384,406
9384,406
9620,428
8788,439
8851,298
9425,221
9257,10
8998,203
9570,260
9600,394
9466,72
9143,112
9376,288
8824,401
9315,176
9315,176
8939,455
8860,263
8914,310
8988,76
9198,323
9198,323
9199,276
9403,72
9318,419
8930,468
9453,485
9064,446
9398,343
9081,377
9668,479
9676,440
9578,171
8839,298
8839,298
9101,8
8816,90
9035,71
8907,40
9386,54
9227,29
9379,223
9445,419
9465,54
9527,283
9115,410
9381,311
8809,97
9423,396
9301,404
9553,207
8821,43
9417,396
8954,494
9369,277
9616,368
8870,109
9494,406
9194,10
9517,404
8946,76
9619,2
9046,33
9573,429
9525,311
9525,311
9618,469
9618,469
9044,238
9427,311
9148,323
9065,493
8931,298
9456,396
9117,87
9503,176
9585,348
9385,425
8990,424
8990,424
9090,328
8983,494
9621,370
8916,5
9413,183
9149,46
9499,385
9674,440
9592,368
8932,363
9196,407
9491,207
9170,46
9377,168
9245,503
9197,112
8882,33
9188,420
9587,317
9304,54
9404,63
9505,183
