src_value,dst_value
60,1
67,1
32,1
49,3
81,1
7,3
21,1
26,1
32,3
63,3
76,2
16,1
63,3
15,3
29,2
76,2
28,3
88,3
19,3
71,2
48,3
21,3
7,1
63,3
63,3
44,1
34,3
34,3
15,3
63,1
33,2
32,3
49,1
49,1
44,1
23,3
88,1
62,5
29,2
29,2
49,3
33,1
7,1
44,1
58,4
58,4
49,3
17,2
49,3
16,1
19,3
19,3
81,1
81,1
50,2
18,4
68,2
15,3
48,3
58,5
7,1
15,3
62,4
79,2
77,2
28,1
15,3
45,1
59,1
33,1
59,1
88,1
49,3
36,2
11,2
60,3
49,3
34,3
79,2
16,1
18,4
88,1
67,2
15,3
2,2
28,1
63,1
63,1
21,1
40,1
83,1
42,2
31,3
59,1
67,2
17,2
28,1
39,2
40,1
58,5
39,2
44,1
18,1
44,1
30,1
30,1
28,1
28,1
83,3
88,1
15,3
21,3
4,2
11,2
19,3
25,2
5,2
47,2
49,3
49,3
77,2
32,3
16,2
16,3
88,1
29,2
7,1
48,3
81,1
13,2
68,2
21,1
21,1
19,1
16,1
67,2
46,2
88,1
73,2
16,1
16,1
8,1
39,1
21,3
18,1
29,1
88,1
88,1
63,4
59,1
44,3
30,2
51,1
67,1
7,1
2,2
15,3
83,1
58,5
28,1
18,3
18,3
60,1
19,1
49,3
75,2
83,1
83,1
40,1
15,3
66,2
23,3
34,3
28,3
66,2
50,2
32,3
5,2
2,2
44,1
44,1
27,1
17,2
19,1
68,2
30,2
31,1
34,4
66,2
11,2
21,4
83,3
45,2
28,1
33,1
30,1
82,4
76,2
33,1
29,2
34,1
2,2
23,5
88,3
51,3
30,1
75,2
1,1
16,3
2,2
45,2
45,2
63,3
63,3
29,1
45,2
83,3
75,1
44,1
30,1
42,2
18,3
7,3
15,3
69,2
69,2
27,1
29,2
4,2
48,1
25,2
37,2
9,2
5,2
2,1
76,2
31,1
82,3
37,2
88,1
41,1
83,1
16,3
24,1
1,1
9,2
88,1
25,2
28,2
28,1
48,3
26,1
3,2
20,1
1,2
76,2
11,2
11,2
45,2
17,2
29,2
17,2
59,1
23,3
23,3
23,3
23,3
61,1
40,2
60,3
33,2
64,3
28,1
60,3
27,1
66,2
66,2
28,1
36,2
27,1
6,1
65,1
42,1
18,1
41,2
48,1
59,2
88,3
49,4
