src_value,dst_value
455,60
203,67
351,32
12,49
269,81
457,7
409,21
52,26
479,32
297,63
43,76
447,16
469,63
72,15
494,29
363,76
446,28
406,88
299,19
80,71
195,48
409,21
24,7
469,63
469,63
374,44
277,34
277,34
145,15
501,63
271,33
144,32
12,49
12,49
332,44
338,23
168,88
443,62
399,29
494,29
335,49
271,33
24,7
332,44
115,58
115,58
431,49
90,17
426,49
206,16
165,19
165,19
434,81
434,81
253,50
266,18
40,68
72,15
18,48
268,58
260,7
88,15
438,62
264,79
131,77
331,28
88,15
311,45
16,59
271,33
250,59
63,88
431,49
291,36
54,11
403,60
426,49
485,34
160,79
506,16
95,18
63,88
432,67
72,15
394,2
377,28
501,63
501,63
409,21
276,40
323,83
82,42
152,31
16,59
213,67
90,17
331,28
486,39
276,40
284,58
486,39
298,44
390,18
298,44
221,30
221,30
331,28
331,28
180,83
63,88
145,15
482,21
370,4
54,11
71,19
183,25
440,5
167,47
310,49
310,49
362,77
289,32
381,16
402,16
63,88
494,29
24,7
161,48
434,81
54,13
40,68
409,21
409,21
126,19
188,16
432,67
311,46
200,88
490,73
400,16
381,16
191,8
342,39
482,21
390,18
494,29
406,88
406,88
428,63
439,59
298,44
221,30
10,51
203,67
260,7
394,2
72,15
112,83
288,58
401,28
176,18
176,18
455,60
263,19
310,49
76,75
323,83
323,83
276,40
72,15
419,66
468,23
485,34
446,28
343,66
377,50
479,32
440,5
171,2
298,44
298,44
8,27
90,17
71,19
40,68
54,30
29,31
223,34
419,66
54,11
283,21
410,83
311,45
97,28
396,33
404,30
207,82
43,76
396,33
494,29
277,34
368,2
109,23
406,88
10,51
404,30
76,75
2,1
33,16
429,2
311,45
311,45
469,63
469,63
238,29
311,45
323,83
493,75
298,44
396,30
87,42
176,18
348,7
425,15
424,69
424,69
328,27
494,29
370,4
5,48
183,25
46,37
385,9
440,5
368,2
363,76
407,31
207,82
46,37
168,88
503,41
112,83
33,16
420,24
317,1
54,9
63,88
183,25
97,28
278,28
161,48
209,26
302,3
106,20
1,1
363,76
54,11
54,11
311,45
90,17
494,29
90,17
261,59
338,23
338,23
338,23
338,23
196,61
296,40
336,60
271,33
217,64
97,28
197,60
492,27
419,66
419,66
298,28
136,36
328,27
15,6
491,65
82,42
390,18
287,41
5,48
439,59
344,88
310,49
310,49
217,64
313,47
160,79
445,1
6,63
503,41
485,34
200,88
292,43
167,47
64,82
54,11
244,41
298,44
486,39
284,58
482,21
503,41
305,42
441,23
406,88
40,68
482,21
131,77
21,58
499,43
179,49
261,59
16,59
503,41
503,41
349,74
349,74
435,82
176,18
266,18
196,61
503,41
184,6
88,15
88,15
115,58
221,30
105,26
173,71
263,19
271,33
494,29
278,28
195,48
482,21
243,42
281,37
419,66
28,19
498,62
220,49
53,43
278,28
136,39
363,76
99,4
163,32
298,44
298,44
396,30
66,84
313,47
12,49
426,49
196,61
196,61
15,6
147,23
419,66
292,43
183,25
136,39
221,30
193,24
2,1
82,42
485,34
485,34
485,34
303,27
344,88
499,43
277,34
356,3
414,38
145,15
443,62
257,32
176,18
218,27
502,36
80,71
457,7
375,36
82,42
501,63
271,33
167,47
88,15
396,30
176,18
501,63
390,18
260,7
277,34
464,84
464,84
75,61
75,61
271,33
494,29
23,52
377,50
377,28
40,77
220,49
105,26
165,19
42,19
77,1
183,25
256,31
263,19
420,24
420,24
310,49
310,49
360,22
198,49
435,82
49,32
49,32
61,51
396,33
63,88
63,88
481,51
253,50
247,73
402,16
209,26
400,65
191,8
29,31
467,83
305,42
188,16
188,16
188,16
396,33
38,48
38,48
466,23
419,66
115,58
299,19
54,11
485,34
183,25
394,2
106,20
304,61
304,61
168,88
54,10
37,63
311,46
6,63
336,60
180,83
306,36
434,81
298,44
486,39
262,22
419,66
335,49
179,49
491,65
192,42
46,37
168,88
184,24
88,15
88,15
292,43
90,17
486,39
434,21
431,49
54,11
206,16
188,16
218,27
218,27
349,74
323,83
75,61
53,43
196,61
311,45
311,45
434,21
306,40
356,3
219,72
97,28
90,17
87,42
192,42
54,13
54,11
394,2
468,23
487,62
482,21
482,21
482,21
503,41
390,18
306,36
443,62
377,28
400,65
338,23
106,20
115,58
176,18
343,66
319,58
319,58
54,13
243,38
434,21
80,71
287,41
485,34
485,34
485,34
253,50
439,59
434,21
285,43
443,62
286,3
136,39
443,62
271,33
40,68
40,68
147,23
311,45
253,50
183,25
183,25
349,74
300,51
300,51
54,10
183,25
213,73
176,18
106,20
440,5
2,1
502,36
253,50
305,42
282,27
100,82
467,83
131,77
432,67
160,79
243,38
72,15
388,59
434,21
260,7
260,7
362,77
15,6
421,80
299,19
277,34
215,40
340,50
221,30
178,38
192,42
6,63
305,42
221,30
168,88
419,66
71,19
342,39
505,51
191,8
80,71
80,71
106,20
106,20
494,29
406,88
406,88
406,88
256,31
311,45
481,51
195,48
167,47
160,79
54,30
409,21
247,73
87,42
87,42
379,6
441,23
494,29
54,30
256,31
49,32
356,3
80,71
416,71
416,71
30,71
111,20
253,50
111,20
82,42
253,50
63,88
406,88
53,43
54,13
54,13
167,47
297,63
328,27
326,63
439,59
327,48
503,41
305,42
276,40
72,15
363,76
87,42
196,61
74,75
486,39
299,19
181,26
196,61
173,71
54,10
54,10
54,10
213,73
213,73
289,32
2,1
396,33
383,70
63,88
416,72
390,18
165,19
388,59
165,19
216,78
37,63
462,27
361,19
188,16
198,49
183,25
147,23
54,10
200,88
70,59
191,8
191,8
426,49
253,50
71,23
425,15
63,88
243,38
261,59
409,21
390,18
282,27
440,5
308,6
223,34
54,10
28,19
383,70
419,66
220,49
482,21
482,21
443,62
443,62
443,62
303,27
36,27
426,49
446,28
34,20
34,20
49,32
300,51
282,27
323,83
40,68
490,73
490,73
473,31
5,48
192,42
64,82
443,62
90,17
435,82
183,25
432,67
173,71
173,71
440,5
154,48
120,63
385,9
24,7
176,18
271,33
172,32
303,27
370,4
388,59
393,78
26,31
506,16
473,31
387,58
29,31
351,32
111,20
400,65
54,13
415,27
308,6
256,31
204,48
168,88
168,88
168,88
29,31
183,25
363,76
144,32
471,19
317,1
308,43
244,41
390,18
61,51
196,61
402,16
304,61
468,23
269,81
54,10
183,25
420,24
251,19
470,70
443,62
350,51
298,44
198,49
75,61
469,63
469,63
87,42
178,38
401,28
168,88
292,43
311,45
54,10
54,10
271,33
218,27
100,82
284,15
214,51
374,44
383,70
269,81
87,42
183,25
3,2
414,36
414,36
12,49
76,75
75,61
126,19
322,7
499,43
420,24
112,83
174,23
160,79
54,10
223,34
54,13
440,5
296,40
276,40
264,79
3,7
3,7
6,63
221,30
97,28
37,63
168,88
494,29
494,29
462,27
492,27
192,42
328,27
469,63
218,27
192,42
186,21
439,59
390,18
406,88
473,31
277,34
1,1
349,74
271,33
303,39
88,15
88,15
103,7
16,59
16,59
16,59
16,59
215,40
64,82
54,12
152,31
311,46
480,4
468,23
505,51
82,42
12,49
12,49
12,49
178,38
499,43
145,15
403,60
390,18
206,16
221,30
419,66
178,38
276,40
183,25
220,49
54,11
303,27
484,41
108,58
429,2
54,10
277,34
203,67
147,23
506,16
63,88
271,33
192,42
396,33
292,43
90,17
24,7
54,11
335,49
407,31
393,78
206,16
88,15
429,2
431,49
482,21
223,34
126,19
363,79
238,29
54,11
90,17
503,41
80,71
362,77
111,20
385,9
54,13
311,46
264,79
494,29
126,19
287,41
186,21
204,48
204,48
46,37
203,67
203,67
405,26
298,44
436,27
473,31
52,26
190,63
29,31
260,7
375,36
176,18
75,61
75,61
88,15
344,88
205,6
95,18
399,29
205,6
160,79
393,78
54,13
244,41
244,41
327,48
327,48
221,30
271,33
368,2
