src_value,dst_value
8894,100
8904,80
9653,50
8781,100
9480,100
9576,100
9463,60
9645,50
9643,100
9640,50
8866,70
8833,110
9602,100
9533,80
8880,60
8995,60
9078,100
9305,100
9056,100
8928,40
8847,110
9560,100
9580,100
9614,110
9614,110
8873,50
9455,100
9455,100
9502,50
9561,100
9531,70
9656,100
8898,100
8898,100
8948,80
9069,110
9333,100
9586,50
8856,50
8807,50
8801,100
9313,60
9583,100
8877,90
9410,100
9410,100
8819,100
8953,60
8867,100
9033,100
8832,100
8832,100
9343,60
9343,60
8859,60
9341,100
9052,100
9471,60
8960,110
9406,60
9604,100
9442,80
9579,100
8973,80
8918,50
8976,100
9513,100
9554,90
8836,110
9469,80
8945,100
9506,100
8875,100
9156,60
9370,70
8806,100
8942,100
9438,100
9001,100
8997,110
9536,100
9394,80
9084,60
9334,50
9642,60
8975,60
9588,100
9588,100
9335,100
9102,70
9266,100
9187,80
9181,100
8885,60
9009,70
8834,50
9045,50
9294,80
9129,100
9448,100
9213,60
9015,80
9467,10
8967,100
9485,100
9485,100
9034,100
9034,100
9098,100
9306,80
9300,80
9338,100
9581,60
9409,60
8886,100
9320,60
9673,80
9155,80
8952,110
8952,110
8783,50
9646,110
8980,50
8808,80
9303,60
9039,90
9584,80
8994,100
9481,80
9501,40
8913,80
9337,60
9337,60
9041,50
9080,110
8926,50
9535,70
9392,50
8929,50
9025,100
9013,100
9173,80
9124,70
9534,100
9439,100
9014,80
9384,100
9384,100
9620,110
8788,80
8851,60
9425,100
9257,100
8998,80
9570,100
9600,50
9466,100
9143,80
9376,100
8824,50
9315,100
9315,100
8939,50
8860,100
8914,100
8988,110
9198,100
9198,100
9199,100
9403,80
9318,60
8930,100
9453,100
9064,80
9398,80
9081,100
9668,50
9676,80
9578,110
8839,80
8839,80
9101,60
8816,70
9035,50
8907,100
9386,60
9227,100
9379,100
9445,100
9465,60
9527,100
9115,100
9381,80
8809,80
9423,80
9301,100
9553,60
8821,80
9417,100
8954,50
9369,80
9616,90
8870,110
9494,100
9194,100
9517,80
8946,50
9619,100
9046,100
9573,60
9525,90
9525,90
9618,110
9618,110
9044,80
9427,60
9148,100
9065,100
8931,100
9456,100
9117,80
9503,60
9585,110
9385,50
8990,70
8990,70
9090,100
8983,80
9621,80
8916,110
9413,60
9149,60
9499,60
9674,70
9592,110
8932,60
9196,100
9491,100
9170,40
9377,100
9245,80
9197,50
8882,80
9188,100
9587,80
9304,50
9404,100
9505,70
9016,50
8831,100
9086,50
9666,50
9631,50
8974,80
9603,50
8881,60
9488,60
9367,100
9460,80
8842,70
8911,60
9070,60
8968,100
9012,110
9012,110
9012,110
9012,110
9177,100
9217,60
8795,100
9524,60
9664,80
8999,80
8813,50
9094,50
9307,60
9307,60
9047,50
9160,50
9223,100
9289,100
8845,90
9222,100
9500,60
9108,60
9024,80
8857,70
9361,100
8792,100
8792,100
9658,80
9291,50
8917,50
9574,40
9628,60
9125,100
9407,100
9364,100
9230,80
9285,60
9462,70
9402,70
9163,60
8958,80
9139,80
9548,100
9519,100
9278,50
9167,60
8888,100
9482,60
9079,80
9431,100
9026,60
9555,100
9140,60
8799,100
9072,60
9082,80
9184,60
9201,60
8978,80
8978,80
9363,50
9523,100
9496,100
9249,100
9128,70
9189,100
9405,100
9405,100
9308,100
9476,100
9657,80
8850,60
8965,70
9375,70
9002,50
9000,60
8922,100
9530,100
9232,50
9220,60
9340,80
8919,100
9622,110
8910,100
9221,60
8890,80
9127,60
8796,50
9626,40
9663,100
9032,80
9032,80
9309,80
9651,80
9224,80
8906,50
8989,100
9191,100
9191,100
9229,80
9031,100
9322,80
9262,60
9329,50
9138,60
9451,60
9286,60
9594,80
9157,100
9522,100
9522,100
9522,100
9236,100
9437,100
9118,50
9420,100
9567,80
9132,60
9400,60
9601,110
9665,70
9319,100
9209,100
9111,40
9063,70
9625,110
9135,60
9215,60
9595,100
9316,80
9154,80
9510,60
9538,100
9355,100
9605,100
9382,60
9599,100
9528,100
9644,100
9644,100
9164,100
9164,100
9360,60
8955,80
9670,130
8865,70
9003,80
9043,100
8981,50
9662,60
9071,110
9077,100
9637,50
9459,60
9242,100
9085,100
9142,100
9142,100
9021,110
9021,110
9671,60
9038,70
9302,80
9654,80
9654,80
9103,60
9464,70
9378,100
9378,100
9219,100
8889,50
8861,60
8938,100
9661,50
9008,80
9105,60
9299,80
9273,50
9183,60
8825,100
8825,100
8825,100
9486,100
8811,80
8811,80
8810,80
9541,60
9429,100
8982,100
9414,60
9468,80
9492,40
9563,60
9076,50
9175,100
9175,100
9388,100
9339,60
9565,100
9473,60
9609,50
8987,100
9293,100
9252,50
9317,60
8815,90
9264,50
9669,110
9371,60
8782,100
9055,100
9027,50
9099,60
9171,60
9416,60
9231,100
9412,100
9412,100
9192,60
8871,60
9182,60
9507,100
8897,100
9452,70
8969,80
8876,100
9297,100
9297,100
9028,70
9241,100
9269,100
9122,70
9089,80
9539,80
9539,80
9358,100
9214,80
9630,80
8826,50
8984,60
8803,60
9162,80
9275,60
9435,40
9372,70
9610,60
8849,100
9638,50
9348,100
9348,100
9348,100
9272,80
9443,100
9210,60
9582,80
8921,80
8903,100
8789,110
9030,80
9450,60
9458,100
9556,80
9353,60
9346,40
9399,10
9268,50
9312,100
8977,70
9284,70
9449,100
9449,100
9449,100
8879,50
8853,80
9550,100
9096,70
9577,90
9569,50
9153,60
9572,110
9498,80
8814,50
8940,60
8841,80
9415,70
8934,60
9447,80
9350,60
8818,80
9208,110
9208,110
9508,80
9324,60
8829,80
9558,100
8912,100
9677,60
9597,50
9200,40
9051,50
9137,100
9253,80
9526,100
9093,60
8959,50
8838,50
8800,60
9288,80
9543,50
9023,80
9422,80
9641,100
9641,100
8887,60
9195,70
8784,60
8830,100
9424,80
9172,60
8895,70
9518,100
9159,80
9185,60
9636,50
9123,40
9552,50
9418,60
9446,10
9061,100
9295,60
9165,100
9251,60
8947,70
8947,70
8941,100
8941,100
8852,100
9393,80
9393,80
9393,80
9228,100
9419,60
9119,100
8899,110
9298,80
8827,70
9321,70
9433,100
8979,60
9206,70
9206,70
9261,100
9037,110
9042,50
9383,80
9254,40
9652,60
9627,100
9074,60
8785,70
8785,70
9036,50
9068,110
8835,110
9068,110
9095,80
9029,80
9373,100
9457,100
9106,70
9327,80
9327,80
9225,60
9639,100
9276,100
9606,100
8820,110
8944,100
9145,60
9146,80
9097,60
9515,60
9049,60
9255,80
9280,100
8949,80
9240,100
8956,100
9655,40
9216,100
8790,60
9547,70
9547,70
9547,70
8862,110
8862,110
9648,110
9617,100
9511,80
8868,50
9441,100
9073,50
9551,100
8915,110
9059,100
8915,110
8855,50
9632,110
9161,100
8837,100
8798,80
9053,100
9514,60
8844,110
9390,70
9440,100
9083,60
9203,60
9203,60
9010,100
8924,60
9007,100
9328,100
9332,100
9130,80
8864,100
9387,100
9479,60
9168,80
9675,60
9166,110
9489,100
9352,90
8991,50
9019,50
9368,110
8950,100
9487,110
9487,110
9571,110
9571,110
9571,110
9263,100
9212,100
8962,80
8804,100
8858,80
8858,80
9650,100
9270,100
9176,100
9104,100
8927,50
9040,60
8951,70
9235,100
8793,100
9234,70
9484,100
9593,110
8985,60
9366,50
9483,60
8909,80
8957,70
8957,70
9679,80
8822,100
9613,60
9330,60
9575,100
9408,100
9540,80
9667,100
9279,100
9566,60
8933,60
8925,70
9091,100
8996,110
9109,100
9323,60
9218,60
9660,80
9017,100
8937,70
9520,40
9250,100
9287,110
9290,100
9067,100
9342,80
9342,80
9342,80
9107,100
9351,70
8966,110
9649,100
8905,100
9608,60
9100,110
9120,80
9397,70
9247,100
9179,100
9005,80
9147,100
8935,100
9389,60
9421,60
9430,50
9274,100
9011,100
8840,50
9615,110
9114,100
8961,80
8823,110
9190,100
9591,110
9591,110
9131,60
9112,60
8986,100
9331,100
9211,60
9472,80
9529,90
9428,60
9454,50
9141,40
9326,80
9401,60
9292,100
8786,80
9006,50
9426,100
9136,80
9546,60
9611,80
9282,50
9282,50
8872,80
9054,60
9248,100
8936,100
9624,110
9126,80
9259,100
9238,100
8854,110
9057,50
9391,50
9559,100
9325,60
9672,70
9265,60
9169,60
8848,70
9633,100
9633,100
9568,100
9396,100
8901,110
9623,90
9434,100
8920,100
9022,50
9271,100
9237,60
9092,60
9246,100
9562,100
9116,100
9152,70
9521,100
8893,80
9365,80
9395,100
9202,100
9359,80
9607,50
8891,80
9344,80
9239,100
9495,100
9495,100
9589,80
8964,80
8964,80
8964,80
8964,80
9207,50
9544,100
9444,60
9243,100
9532,70
9564,60
8902,100
9260,100
9283,70
8992,100
8992,100
8992,100
9258,50
9121,80
9557,100
