src_value,dst_value
8894,4
8904,6
9653,9
8781,10
9480,13
9576,13
9463,19
9645,19
9643,19
9640,22
8866,23
8833,23
9602,1
9533,9
8880,10
8995,12
9078,13
9305,14
9056,14
8928,16
8847,3
9560,4
9580,10
9614,10
9614,10
8873,12
9455,14
9455,14
9502,14
9561,14
9531,15
9656,15
8898,15
8898,15
8948,21
9069,2
9333,4
9586,6
8856,8
8807,8
8801,11
9313,12
9583,12
8877,12
9410,13
9410,13
8819,14
8953,14
8867,16
9033,18
8832,22
8832,22
9343,23
9343,23
8859,1
9341,12
9052,15
9471,4
8960,8
9406,11
9604,13
9442,15
9579,18
8973,21
8918,22
8976,23
9513,0
9554,4
8836,12
9469,16
8945,17
9506,2
8875,4
9156,7
9370,10
8806,10
8942,12
9438,13
9001,14
8997,17
9536,18
9394,20
9084,22
9334,6
9642,6
8975,11
9588,12
9588,12
9335,14
9102,14
9266,15
9187,15
9181,15
8885,15
9009,16
8834,17
9045,20
9294,23
9129,5
9448,9
9213,9
9015,10
9467,10
8967,11
9485,16
9485,16
9034,17
9034,17
9098,18
9306,19
9300,21
9338,21
9581,21
9409,23
8886,23
9320,0
9673,1
9155,2
8952,3
8952,3
8783,6
9646,7
8980,8
8808,10
9303,11
9039,11
9584,11
8994,14
9481,17
9501,21
8913,0
9337,2
9337,2
9041,4
9080,4
8926,5
9535,9
9392,9
8929,12
9025,13
9013,17
9173,17
9124,18
9534,5
9439,6
9014,10
9384,11
9384,11
9620,11
8788,11
8851,12
9425,12
9257,12
8998,12
9570,12
9600,14
9466,16
9143,16
9376,17
8824,20
9315,23
9315,23
8939,17
8860,18
8914,21
8988,22
9198,6
9198,6
9199,7
9403,10
9318,11
8930,11
9453,15
9064,15
9398,16
9081,16
9668,16
9676,17
9578,19
8839,20
8839,20
9101,22
8816,22
9035,23
8907,0
9386,2
9227,6
9379,8
9445,14
9465,18
9527,18
9115,2
9381,4
8809,5
9423,8
9301,12
9553,13
8821,13
9417,14
8954,20
9369,1
9616,3
8870,8
9494,9
9194,9
9517,10
8946,12
9619,13
9046,13
9573,13
9525,14
9525,14
9618,14
9618,14
9044,15
9427,16
9148,16
9065,4
8931,5
9456,8
9117,8
9503,9
9585,10
9385,13
8990,13
8990,13
9090,13
8983,15
9621,16
8916,16
9413,17
9149,17
9499,19
9674,21
9592,0
8932,4
9196,5
9491,6
9170,14
9377,18
9245,18
9197,20
8882,13
9188,15
9587,15
9304,16
9404,17
9505,18
9016,18
8831,21
9086,23
9666,2
9631,8
8974,12
9603,12
8881,12
9488,14
9367,17
9460,18
8842,18
8911,20
9070,20
8968,21
9012,21
9012,21
9012,21
9012,21
9177,10
9217,11
8795,13
9524,14
9664,14
8999,14
8813,17
9094,17
9307,1
9307,1
9047,9
9160,10
9223,11
9289,15
8845,16
9222,17
9500,18
9108,19
9024,19
8857,22
9361,0
