crash_sk,crash_id
1,20144001
2,20144002
3,20144003
4,20144004
5,20144005
6,20144006
7,20144007
8,20144008
9,20144009
10,20144010
11,20144011
12,20144012
13,20144013
14,20144014
15,20144015
16,20144016
17,20144017
18,20144018
19,20144019
20,20144020
21,20144021
22,20144022
23,20144023
24,20144024
25,20144025
26,20144026
27,20144027
28,20144028
29,20144029
30,20144030
31,20144031
32,20144032
33,20144033
34,20144034
35,20144035
36,20144036
37,20144037
38,20144038
39,20144039
40,20144040
41,20144041
42,20144042
43,20144043
44,20144044
45,20144045
46,20144046
47,20144047
48,20144048
49,20144049
50,20144050
51,20144051
52,20144052
53,20144053
54,20144054
55,20144055
56,20144056
57,20144057
58,20144058
59,20144059
60,20144060
61,20144061
62,20144062
63,20144063
64,20144064
65,20144065
66,20144066
67,20144067
68,20144068
69,20144069
70,20144070
71,20144071
72,20144072
73,20144073
74,20144074
75,20144075
76,20144076
77,20144077
78,20144078
79,20144079
80,20144080
81,20144081
82,20144082
83,20144083
84,20144084
85,20144085
86,20144086
87,20144087
88,20144088
89,20144089
90,20144090
91,20144091
92,20144092
93,20144093
94,20144094
95,20144095
96,20144096
97,20145001
98,20145002
99,20145003
100,20145004
101,20145005
102,20145006
103,20145007
104,20145008
105,20145010
106,20145011
107,20145012
108,20145013
109,20145014
110,20145015
111,20145016
112,20145017
113,20145018
114,20145019
115,20145020
116,20145022
117,20145023
118,20145024
119,20145026
120,20145027
121,20145028
122,20145029
123,20145030
124,20145031
125,20145032
126,20145033
127,20145034
128,20145035
129,20145036
130,20145037
131,20145038
132,20145039
133,20145040
134,20145041
135,20145042
136,20145043
137,20145044
138,20145045
139,20145046
140,20145047
141,20145048
142,20145049
143,20145050
144,20145051
145,20145053
146,20145054
147,20145055
148,20145056
149,20145057
150,20145058
151,20145059
152,20145060
153,20145061
154,20145062
155,20145063
156,20145065
157,20145066
158,20145067
159,20145068
160,20145070
161,20145071
162,20145072
163,20145073
164,20145074
165,20145075
166,20145076
167,20145077
168,20145078
169,20145079
170,20145080
171,20145081
172,20145083
173,20145084
174,20145087
175,20145088
176,20145089
177,20145090
178,20145094
179,20145095
180,20145096
181,20145097
182,20145098
183,20145099
184,20145100
185,20145101
186,20145102
187,20145103
188,20145104
189,20145106
190,20145108
191,20145109
192,20145110
193,20145111
194,20145112
195,20145114
196,20145115
197,20145116
198,20145117
199,20145118
200,20145119
201,20145120
202,20145121
203,20145123
204,20145124
205,20145125
206,20145126
207,20145127
208,20145128
209,20145129
210,20145130
211,20145131
212,20145132
213,20145133
214,20145135
215,20145136
216,20145137
217,20145138
218,20145139
219,20145140
220,20145141
221,20145142
222,20145144
223,20145145
224,20145146
225,20145147
226,20145148
227,20145149
228,20145151
229,20145152
230,20145153
231,20145154
232,20145156
233,20145157
234,20145158
235,20145159
236,20145160
237,20145162
238,20145163
239,20145165
240,20145166
241,20145167
242,20145168
243,20145171
244,20145172
245,20145173
246,20146001
247,20146002
248,20146005
249,20146006
250,20146007
251,20146008
252,20146009
253,20146010
254,20146011
255,20146012
256,20146013
257,20146014
258,20146015
259,20146016
260,20146017
261,20146018
262,20146019
263,20146020
264,20146021
265,20146022
266,20146023
267,20146025
268,20146026
269,20146027
270,20146029
271,20146030
272,20146031
273,20151001
274,20151002
275,20151003
276,20151004
277,20151005
278,20151006
279,20151007
280,20151008
281,20151009
282,20151010
283,20151011
284,20151012
285,20151013
286,20151014
287,20151015
288,20151016
289,20151017
290,20151018
291,20151019
292,20151020
293,20151021
294,20151022
295,20151023
296,20151024
297,20151025
298,20151026
299,20151027
300,20151028
301,20151029
302,20151030
303,20151031
304,20151032
305,20151033
306,20151034
307,20151035
308,20151036
309,20151037
310,20151038
311,20151039
312,20151040
313,20151041
314,20151042
315,20151043
316,20151044
317,20151045
318,20151046
319,20151047
320,20151048
321,20151049
322,20151050
323,20151051
324,20151052
325,20151053
326,20151054
327,20151055
328,20151056
329,20151057
330,20151058
331,20151059
332,20151060
333,20151061
334,20151062
335,20151063
336,20151064
337,20151065
338,20151066
339,20151067
340,20151068
341,20151069
342,20151070
343,20151071
344,20151072
345,20151073
346,20151074
347,20151075
348,20151076
349,20151077
350,20151078
351,20151079
352,20151080
353,20151081
354,20151082
355,20151083
356,20151084
357,20151085
358,20151086
359,20151087
360,20151088
361,20151089
362,20151090
363,20151091
364,20151092
365,20151093
366,20151094
367,20151095
368,20151096
369,20151097
370,20151098
371,20151099
372,20151100
373,20151101
374,20151102
375,20151103
376,20151104
377,20151105
378,20151106
379,20151107
380,20151108
381,20151109
382,20151110
383,20151111
384,20151112
385,20151113
386,20151114
387,20151115
388,20151116
389,20151117
390,20151118
391,20151119
392,20151120
393,20151121
394,20151122
395,20151123
396,20151124
397,20151125
398,20151126
399,20151127
400,20151128
401,20151129
402,20151130
403,20151131
404,20151132
405,20151133
406,20151134
407,20151135
408,20151136
409,20151137
410,20151138
411,20151139
412,20151140
413,20151141
414,20151142
415,20151143
416,20151144
417,20151145
418,20151146
419,20151147
420,20151148
421,20151149
422,20151150
423,20151151
424,20151152
425,20151153
426,20151154
427,20151155
428,20151156
429,20151157
430,20151158
431,20151159
432,20151160
433,20151161
434,20151162
435,20151163
436,20151164
437,20151165
438,20151166
439,20151167
440,20151168
441,20151169
442,20151170
443,20151171
444,20151172
445,20151173
446,20151174
447,20151175
448,20151176
449,20151177
450,20151178
451,20151179
452,20151180
453,20151181
454,20151182
455,20151183
456,20151184
457,20151185
458,20151186
459,20151187
460,20151188
461,20151189
462,20151190
463,20151191
464,20151192
465,20151193
466,20151194
467,20151195
468,20151196
469,20151197
470,20151198
471,20151199
472,20151200
473,20151201
474,20151202
475,20151203
476,20151204
477,20151205
478,20151206
479,20151207
480,20151208
481,20151209
482,20151210
483,20151211
484,20151212
485,20151213
486,20151214
487,20151215
488,20151216
489,20151217
490,20151218
491,20151219
492,20151220
493,20151221
494,20151222
495,20151223
496,20151224
497,20151225
498,20151226
499,20151227
500,20151228
501,20151229
502,20151230
503,20151231
504,20151232
505,20151233
506,20151234
507,20151235
508,20151236
509,20151237
510,20151238
511,20151239
512,20151240
513,20151241
514,20151242
515,20151243
516,20151244
517,20151245
518,20151246
519,20151247
520,20151248
521,20151249
522,20151250
523,20151251
524,20151252
525,20151253
526,20151254
527,20151255
528,20151256
529,20151257
530,20151258
531,20151259
532,20151260
533,20151261
534,20151262
535,20151263
536,20151264
537,20151265
538,20151266
539,20151267
540,20151268
541,20151269
542,20151270
543,20151271
544,20151272
545,20151273
546,20151274
547,20151275
548,20151276
549,20151277
550,20151278
551,20151279
552,20151280
553,20151281
554,20151282
555,20151283
556,20151284
557,20151285
558,20151286
559,20151287
560,20151288
561,20151289
562,20151290
563,20151291
564,20151292
565,20151293
566,20151294
567,20151295
568,20151296
569,20151297
570,20151298
571,20151299
572,20151300
573,20151301
574,20151302
575,20151303
576,20151304
577,20151305
578,20151306
579,20151307
580,20151308
581,20151309
582,20151310
583,20151311
584,20151312
585,20151313
586,20151314
587,20151315
588,20151316
589,20151317
590,20151318
591,20151319
592,20151320
593,20151321
594,20151322
595,20151323
596,20151324
597,20151325
598,20151326
599,20152001
600,20152002
601,20152003
602,20152004
603,20152005
604,20152006
605,20152007
606,20152008
607,20152009
608,20152010
609,20152011
610,20152012
611,20152013
612,20152014
613,20152015
614,20152016
615,20152017
616,20152018
617,20152019
618,20152020
619,20152021
620,20152022
621,20152023
622,20152024
623,20152025
624,20152026
625,20152027
626,20152028
627,20152029
628,20152030
629,20152031
630,20152032
631,20152033
632,20152034
633,20152035
634,20152036
635,20152037
636,20152038
637,20152039
638,20152040
639,20152041
640,20152042
641,20152043
642,20152044
643,20152045
644,20152046
645,20152047
646,20152048
647,20152049
648,20152050
649,20152051
650,20152052
651,20152053
652,20152054
653,20152055
654,20152056
655,20152057
656,20152058
657,20152059
658,20152060
659,20152061
660,20152062
661,20152063
662,20152064
663,20152065
664,20152066
665,20152067
666,20152068
667,20152069
668,20152070
669,20152071
670,20152072
671,20152073
672,20152074
673,20152075
674,20152076
675,20152077
676,20152078
677,20152079
678,20152080
679,20152081
680,20152082
681,20152083
682,20152084
683,20152085
684,20152086
685,20152087
686,20152088
687,20152089
688,20152090
689,20152091
690,20152092
691,20152093
692,20152094
693,20152095
694,20152096
695,20152097
696,20152098
697,20152099
698,20152100
699,20152101
700,20152102
701,20152103
702,20152104
703,20152105
704,20152106
705,20152107
706,20152108
707,20152109
708,20152110
709,20152111
710,20152112
711,20152113
712,20152114
713,20152115
714,20152116
715,20152117
716,20152118
717,20152119
718,20152120
719,20152121
720,20152122
721,20152123
722,20152125
723,20152126
724,20152127
725,20152128
726,20152129
727,20152130
728,20152131
729,20152132
730,20152133
731,20152134
732,20152135
733,20152136
734,20152137
735,20152138
736,20152139
737,20152140
738,20152141
739,20152142
740,20152143
741,20152144
742,20152145
743,20152146
744,20152147
745,20152148
746,20152149
747,20152150
748,20152151
749,20152152
750,20152153
751,20152154
752,20152155
753,20152156
754,20152157
755,20152158
756,20152160
757,20152161
758,20152162
759,20152163
760,20152164
761,20152165
762,20152166
763,20152167
764,20152168
765,20152169
766,20152170
767,20152171
768,20152172
769,20152173
770,20152174
771,20152175
772,20152176
773,20152177
774,20152178
775,20152179
776,20152180
777,20152181
778,20152182
779,20152183
780,20152184
781,20152185
782,20152186
783,20152188
784,20152189
785,20152190
786,20152191
787,20152192
788,20152193
789,20152194
790,20152195
791,20152196
792,20152197
793,20152198
794,20152199
795,20152200
796,20152201
797,20152202
798,20152203
799,20152204
800,20152205
801,20152206
802,20152207
803,20152208
804,20152209
805,20152210
806,20152211
807,20152212
808,20152213
809,20152214
810,20152215
811,20152216
812,20152217
813,20152218
814,20152219
815,20152220
816,20152221
817,20152222
818,20152223
819,20152224
820,20152225
821,20152226
822,20152227
823,20152228
824,20152229
825,20152230
826,20152231
827,20154001
828,20154002
829,20154003
830,20154004
831,20154005
832,20154006
833,20154007
834,20154008
835,20154009
836,20154010
837,20154011
838,20154012
839,20154013
840,20154014
841,20154015
842,20154016
843,20154017
844,20154018
845,20154019
846,20154020
847,20154021
848,20154022
849,20154023
850,20154024
851,20154025
852,20154026
853,20154027
854,20154028
855,20154029
856,20154030
857,20154031
858,20154032
859,20154033
860,20154034
861,20154035
862,20154036
863,20154037
864,20154038
865,20154039
866,20154040
867,20154041
868,20154042
869,20154043
870,20154044
871,20154045
872,20154046
873,20154047
874,20154048
875,20154049
876,20154050
877,20154051
878,20154052
879,20154053
880,20154054
881,20154055
882,20154056
883,20154057
884,20154058
885,20154059
886,20154060
887,20154061
888,20154062
889,20154063
890,20154064
891,20154065
892,20154066
893,20154067
894,20154068
895,20154069
896,20154070
897,20154071
898,20154072
899,20154073
900,20154074
901,20154075
902,20154076
903,20154077
904,20154078
905,20154079
906,20154080
907,20154081
908,20154082
909,20154083
910,20154084
911,20154085
912,20154086
913,20154087
914,20154088
915,20154089
916,20154090
917,20154091
918,20154092
919,20154093
920,20154094
921,20154095
922,20154096
923,20155001
924,20155002
925,20155004
926,20155006
927,20155007
928,20155009
929,20155010
930,20155011
931,20155012
932,20155013
933,20155014
934,20155015
935,20155016
936,20155017
937,20155018
938,20155019
939,20155020
940,20155021
941,20155023
942,20155024
943,20155025
944,20155026
945,20155027
946,20155028
947,20155029
948,20155031
949,20155032
950,20155033
951,20155034
952,20155035
953,20155036
954,20155037
955,20155039
956,20155040
957,20155041
958,20155042
959,20155043
960,20155044
961,20155048
962,20155049
963,20155050
964,20155051
965,20155052
966,20155054
967,20155055
968,20155056
969,20155057
970,20155058
971,20155059
972,20155060
973,20155061
974,20155062
975,20155063
976,20155064
977,20155065
978,20155066
979,20155067
980,20155068
981,20155069
982,20155070
983,20155071
984,20155072
985,20155073
986,20155074
987,20155075
988,20155076
989,20155078
990,20155079
991,20155080
992,20155081
993,20155082
994,20155085
995,20155087
996,20155088
997,20155089
998,20155090
999,20155091
1000,20155092
1001,20155093
1002,20155094
1003,20155096
1004,20155097
1005,20155098
1006,20155099
1007,20155100
1008,20155101
1009,20155102
1010,20155103
1011,20155104
1012,20155105
1013,20155106
1014,20155107
1015,20155108
1016,20155109
1017,20155110
1018,20155112
1019,20155113
1020,20155115
1021,20155116
1022,20155118
1023,20155119
1024,20155120
1025,20155121
1026,20155122
1027,20155123
1028,20155125
1029,20155128
1030,20155130
1031,20155131
1032,20155132
1033,20155133
1034,20155134
1035,20155135
1036,20155136
1037,20155137
1038,20155139
1039,20155140
1040,20156001
1041,20156002
1042,20156003
1043,20156004
1044,20156005
1045,20156006
1046,20156007
1047,20156008
1048,20156009
1049,20156011
1050,20156012
1051,20156013
1052,20156014
1053,20156015
1054,20156016
1055,20156018
1056,20156019
1057,20156020
1058,20156021
1059,20156022
1060,20156023
1061,20156024
1062,20156025
1063,20156026
1064,20156027
1065,20156028
1066,20156029
1067,20156030
1068,20156031
1069,20156032
1070,20157001
1071,20157002
1072,20157003
1073,20157004
1074,20157005
1075,20157006
1076,20157007
1077,20157008
1078,20157009
1079,20157010
1080,20157011
1081,20157012
1082,20157013
1083,20157014
1084,20157015
1085,20157016
1086,20157017
1087,20157019
1088,20157020
1089,20157021
1090,20157022
1091,20157023
1092,20157024
1093,20157025
1094,20157026
1095,20157027
1096,20157028
1097,20157029
1098,20157030
1099,20157031
1100,20157032
1101,20157033
1102,20157034
1103,20157035
1104,20157036
1105,20157037
1106,20157038
1107,20157039
1108,20157040
1109,20157041
1110,20157042
1111,20158001
1112,20158002
1113,20158003
1114,20158004
1115,20158005
1116,20158006
1117,20158007
1118,20158008
1119,20158009
1120,20158010
1121,20158011
1122,20158012
1123,20158013
1124,20158014
1125,20161001
1126,20161002
1127,20161003
1128,20161004
1129,20161005
1130,20161006
1131,20161007
1132,20161008
1133,20161009
1134,20161010
1135,20161011
1136,20161012
1137,20161013
1138,20161014
1139,20161015
1140,20161016
1141,20161017
1142,20161018
1143,20161019
1144,20161020
1145,20161021
1146,20161022
1147,20161023
1148,20161024
1149,20161025
1150,20161026
1151,20161027
1152,20161028
1153,20161029
1154,20161030
1155,20161031
1156,20161032
1157,20161033
1158,20161034
1159,20161035
1160,20161036
1161,20161037
1162,20161038
1163,20161039
1164,20161040
1165,20161041
1166,20161042
1167,20161043
1168,20161044
1169,20161045
1170,20161046
1171,20161047
1172,20161048
1173,20161049
1174,20161050
1175,20161051
1176,20161052
1177,20161053
1178,20161054
1179,20161055
1180,20161056
1181,20161057
1182,20161058
1183,20161059
1184,20161060
1185,20161061
1186,20161062
1187,20161063
1188,20161064
1189,20161065
1190,20161066
1191,20161067
1192,20161068
1193,20161069
1194,20161070
1195,20161071
1196,20161072
1197,20161073
1198,20161074
1199,20161075
1200,20161076
1201,20161077
1202,20161078
1203,20161079
1204,20161080
1205,20161081
1206,20161082
1207,20161083
1208,20161084
1209,20161085
1210,20161086
1211,20161087
1212,20161088
1213,20161089
1214,20161090
1215,20161091
1216,20161092
1217,20161093
1218,20161094
1219,20161095
1220,20161096
1221,20161097
1222,20161098
1223,20161099
1224,20161100
1225,20161101
1226,20161102
1227,20161103
1228,20161104
1229,20161105
1230,20161106
1231,20161107
1232,20161108
1233,20161109
1234,20161110
1235,20161111
1236,20161112
1237,20161113
1238,20161114
1239,20161115
1240,20161116
1241,20161117
1242,20161118
1243,20161119
1244,20161120
1245,20161121
1246,20161122
1247,20161123
1248,20161124
1249,20161125
1250,20161126
1251,20161127
1252,20161128
1253,20161129
1254,20161130
1255,20161131
1256,20161132
1257,20161133
1258,20161134
1259,20161135
1260,20161136
1261,20161137
1262,20161138
1263,20161139
1264,20161140
1265,20161141
1266,20161142
1267,20161143
1268,20161144
1269,20161145
1270,20161146
1271,20161147
1272,20161148
1273,20161149
1274,20161150
1275,20161151
1276,20161152
1277,20161153
1278,20161154
1279,20161155
1280,20161156
1281,20161157
1282,20161158
1283,20161159
1284,20161160
1285,20161161
1286,20161162
1287,20161163
1288,20161164
1289,20161165
1290,20161166
1291,20161167
1292,20161168
1293,20161169
1294,20161170
1295,20161171
1296,20161172
1297,20161173
1298,20161174
1299,20161175
1300,20161176
1301,20161177
1302,20161178
1303,20161179
1304,20161180
1305,20161181
1306,20161182
1307,20161183
1308,20161184
1309,20161185
1310,20161186
1311,20161187
1312,20161188
1313,20161189
1314,20161190
1315,20161191
1316,20161192
1317,20161193
1318,20161194
1319,20161195
1320,20161196
1321,20161197
1322,20161198
1323,20161199
1324,20161200
1325,20161201
1326,20161202
1327,20161203
1328,20161204
1329,20161205
1330,20161206
1331,20161207
1332,20161208
1333,20161209
1334,20161210
1335,20161211
1336,20161212
1337,20161213
1338,20161214
1339,20161215
1340,20161216
1341,20161217
1342,20161218
1343,20161219
1344,20161220
1345,20161221
1346,20161222
1347,20161223
1348,20161224
1349,20161225
1350,20161226
1351,20161227
1352,20161228
1353,20161229
1354,20161230
1355,20161231
1356,20161232
1357,20161233
1358,20161234
1359,20161235
1360,20161236
1361,20161237
1362,20161238
1363,20161239
1364,20161240
1365,20161241
1366,20161242
