date_sk,dayweek,day_of_week,month,year
1,Friday,Weekday,12,2024
2,Friday,Weekend,11,2019
3,Friday,Weekday,11,2019
4,Friday,Weekend,12,2019
5,Friday,Weekday,12,2019
6,Friday,Weekend,1,2020
7,Friday,Weekday,1,2020
8,Friday,Weekend,2,2020
9,Friday,Weekday,2,2020
10,Friday,Weekend,3,2020
11,Friday,Weekday,3,2020
12,Friday,Weekday,10,2019
13,Friday,Weekend,4,2020
14,Friday,Weekend,5,2020
15,Friday,Weekday,5,2020
16,Friday,Weekend,6,2020
17,Friday,Weekday,6,2020
18,Friday,Weekend,7,2020
19,Friday,Weekday,7,2020
20,Friday,Weekend,8,2020
21,Friday,Weekday,8,2020
22,Friday,Weekend,9,2020
23,Friday,Weekday,9,2020
24,Friday,Weekday,4,2020
25,Friday,Weekend,10,2020
26,Friday,Weekend,10,2019
27,Friday,Weekend,9,2019
28,Friday,Weekday,9,2018
29,Friday,Weekend,10,2018
30,Friday,Weekday,10,2018
31,Friday,Weekend,11,2018
32,Friday,Weekday,11,2018
33,Friday,Weekend,12,2018
34,Friday,Weekday,12,2018
35,Friday,Weekend,1,2019
36,Friday,Weekday,1,2019
37,Friday,Weekend,2,2019
38,Friday,Weekday,9,2019
39,Friday,Weekday,2,2019
40,Friday,Weekday,3,2019
41,Friday,Weekend,4,2019
42,Friday,Weekday,4,2019
43,Friday,Weekend,5,2019
44,Friday,Weekday,5,2019
45,Friday,Weekend,6,2019
46,Friday,Weekday,6,2019
47,Friday,Weekday,7,2019
48,Friday,Weekend,8,2019
49,Friday,Weekday,8,2019
50,Friday,Weekend,3,2019
51,Friday,Weekend,9,2018
52,Friday,Weekday,10,2020
53,Friday,Weekday,11,2020
54,Friday,Weekend,1,2022
55,Friday,Weekday,1,2022
56,Friday,Weekend,2,2022
57,Friday,Weekday,2,2022
58,Friday,Weekend,3,2022
59,Friday,Weekday,3,2022
60,Friday,Weekend,4,2022
61,Friday,Weekday,4,2022
62,Friday,Weekend,5,2022
63,Friday,Weekday,5,2022
64,Friday,Weekday,12,2021
65,Friday,Weekend,6,2022
66,Friday,Weekend,7,2022
67,Friday,Weekday,7,2022
68,Friday,Weekend,8,2022
69,Friday,Weekday,8,2022
70,Friday,Weekend,9,2022
71,Friday,Weekday,9,2022
72,Friday,Weekend,10,2022
73,Friday,Weekday,10,2022
74,Friday,Weekend,11,2022
