lga_sk,lga
1,Adelaide
2,Adelaide Hills
3,Adelaide Plains
4,Albany
5,Albury
6,Alexandrina
7,Alice Springs
8,Alpine
9,Anangu Pitjantjatjara Yankunytjatjara
10,Ararat
11,Armadale
12,Armidale
13,Ashburton
14,Augusta Margaret River
15,Ballarat
16,Ballina
17,Balonne
18,Balranald
19,Banana
20,Banyule
21,Barcaldine
22,Barcoo
23,Barkly
24,Barossa
25,Barunga West
26,Bass Coast
27,Bassendean
28,Bathurst
29,Baw Baw
30,Bayside (NSW)
31,Bayside (Vic.)
32,Bayswater
33,Bega Valley
34,Bellingen
35,Belmont
36,Benalla
37,Berri Barmera
38,Berrigan
39,Beverley
40,Blacktown
41,Bland
42,Blayney
43,Blue Mountains
44,Boddington
45,Bogan
46,Boroondara
47,Bourke
48,Boyup Brook
49,Break O'Day
50,Brewarrina
51,Bridgetown-Greenbushes
52,Brighton
53,Brimbank
54,Brisbane
55,Broken Hill
56,Brookton
57,Broome
58,Broomehill-Tambellup
59,Bruce Rock
60,Bulloo
61,Buloke
62,Bunbury
63,Bundaberg
64,Burdekin
65,Burke
66,Burnie
67,Burnside
68,Burwood
69,Busselton
70,Byron
71,Cabonne
72,Cairns
73,Cambridge
74,Camden
75,Campaspe
76,Campbelltown (NSW)
77,Campbelltown (SA)
78,Canada Bay
79,Canning
80,Canterbury-Bankstown
81,Capel
82,Cardinia
83,Carnamah
84,Carnarvon
85,Carpentaria
86,Carrathool
87,Casey
88,Cassowary Coast
89,Ceduna
90,Central Coast (NSW)
91,Central Coast (Tas.)
92,Central Darling
93,Central Desert
94,Central Goldfields
95,Central Highlands (Qld)
96,Central Highlands (Tas.)
97,Cessnock
98,Chapman Valley
99,Charles Sturt
100,Charters Towers
101,Chittering
102,Circular Head
103,Clare and Gilbert Valleys
104,Claremont
105,Clarence
106,Clarence Valley
107,Cleve
108,Cloncurry
109,Cobar
110,Cockburn
111,Coffs Harbour
112,Colac Otway
113,Collie
114,Coober Pedy
115,Cook
116,Coolamon
117,Coolgardie
118,Coomalie 
119,Coonamble
120,Coorong
121,Cootamundra-Gundagai
122,Copper Coast
123,Corangamite
124,Corrigin
125,Cottesloe 
126,Cowra
127,Cranbrook
128,Croydon
129,Cuballing
130,Cue
131,Cumberland
132,Cunderdin
133,Dalwallinu
134,Dandaragan
135,Dardanup
136,Darebin
137,Darwin
138,Denmark
139,Derby-West Kimberley
140,Derwent Valley
141,Devonport
142,Donnybrook-Balingup
143,Doomadgee
144,Dorset
145,Douglas
146,Dowerin
147,Dubbo
148,Dumbleyung
149,Dundas
150,Dungog
151,East Arnhem
152,East Gippsland
153,East Pilbara
154,Edward River
155,Elliston
156,Esperance
157,Etheridge
158,Eurobodalla
159,Exmouth
160,Fairfield
161,Federation
162,Flinders (Qld)
163,Flinders (Tas.)
164,Flinders Ranges
165,Forbes
166,Franklin Harbour
167,Frankston
168,Fraser Coast
169,Fremantle
170,Gannawarra
171,Gawler
172,George Town
173,Georges River
174,Gilgandra
175,Gingin
176,Gladstone
177,Glamorgan-Spring Bay
178,Glen Eira
179,Glen Innes Severn
180,Glenelg
181,Glenorchy
182,Gnowangerup
183,Gold Coast
184,Golden Plains
185,Goomalling
186,Goondiwindi
187,Gosnells
188,Goulburn Mulwaree
189,Goyder
190,Grant
191,Greater Bendigo
192,Greater Dandenong
193,Greater Geelong
194,Greater Geraldton
195,Greater Hume
196,Greater Shepparton
197,Griffith
198,Gunnedah
199,Gwydir
200,Gympie
201,Halls Creek
202,Harvey
203,Hawkesbury
204,Hay
205,Hepburn
206,Hilltops
207,Hinchinbrook
208,Hindmarsh
209,Hobart
210,Hobsons Bay
211,Holdfast Bay
212,Hope Vale
213,Hornsby
214,Horsham
215,Hume
216,Hunters Hill
217,Huon Valley
218,Indigo
219,Inner West
220,Inverell
221,Ipswich
222,Irwin
223,Isaac
224,Jerramungup
225,Joondalup
226,Junee
227,Kalamunda
228,Kalgoorlie-Boulder
229,Kangaroo Island
230,Karoonda East Murray
231,Karratha
